file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
ballangen_03gm-04gk_kk_sb_ifg_akl.conc.ort.trs,ballangen_03gm-04gk,410,4.397,1802.760
ballangen_03gm-kb_kk_sb.trs,ballangen_03gm-kb,136,5.174,703.680
ballangen_03gm-kb_kk_sb_ifg.conc.ort.trs,ballangen_03gm-kb,136,5.174,703.680
ballangen_04gk-kb_kk_sb.trs,ballangen_04gk-kb,130,5.077,660.040
ballangen_04gk-kb_kk_sb_ifg_akl.conc.ort.trs,ballangen_04gk-kb,130,5.077,660.040
beiarn_01um-02uk_kk_sb.trs,beiarn_01um-02uk,673,3.026,2036.280
beiarn_01um-02uk_kk_sb_eo_akl.conc.ort.trs,beiarn_01um-02uk,673,3.026,2036.280
beiarn_01um-kb_kk_sb.trs,beiarn_01um-kb,180,4.025,724.520
beiarn_01um-kb_kk_sb_eo_akl.conc.ort.trs,beiarn_01um-kb,180,4.025,724.520
beiarn_02uk-kb_kk_sb.trs,beiarn_02uk-kb,159,4.175,663.800
beiarn_02uk-kb_kk_sb_eo_akl.conc.ort.trs,beiarn_02uk-kb,159,4.175,663.800
beiarn_03gm-04gk_kk_sb.trs,beiarn_03gm-04gk,455,3.420,1556.040
beiarn_03gm-04gk_kk_sb_eo_akl.conc.ort.trs,beiarn_03gm-04gk,455,3.420,1556.040
beiarn_03gm-kb_sb_kk.trs,beiarn_03gm-kb,215,3.674,790.000
beiarn_03gm-kb_sb_kk_eo_akl.conc.ort.trs,beiarn_03gm-kb,215,3.674,790.000
beiarn_04gk-kb_sb_kk.trs,beiarn_04gk-kb,197,3.440,677.680
beiarn_04gk-kb_sb_kk_eo_akl.conc.ort.trs,beiarn_04gk-kb,197,3.440,677.680
beiarn_05um-kb_kk_eo.trs,beiarn_05um-kb,127,4.883,620.200
beiarn_05um-kb_kk_eo_eo_akl.conc.ort.trs,beiarn_05um-kb,127,4.883,620.200
bergen_01um-02uk_amg_sb_eo.trs,bergen_01um-02uk,254,4.176,1060.800
bergen_01um-02uk_amg_sb_eo_sl.conc.ort.trs,bergen_01um-02uk,254,4.176,1060.800
bergen_01um-mi_amg_sb_lh.trs,bergen_01um-mi,122,5.976,729.095
bergen_01um-mi_amg_sb_lh_sl.conc.ort.trs,bergen_01um-mi,122,5.976,729.095
bergen_02uk-sl_amg_sb_lh.trs,bergen_02uk-sl,137,3.644,499.200
bergen_02uk-sl_amg_sb_lh_sl.conc.ort.trs,bergen_02uk-sl,137,3.644,499.200
bergen_03gm-04gk_sb_lh.trs,bergen_03gm-04gk,398,3.212,1278.240
bergen_03gm-04gk_sb_lh_sl.conc.ort.trs,bergen_03gm-04gk,398,3.212,1278.240
bergen_03gm-mi_sb_lh.trs,bergen_03gm-mi,148,4.664,690.240
