file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,37,438.562,39.83,0,0.0,89,3,417.928,234.709,,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,1,5.866,1.06,0,0.0,15,3,76.521,464.367,,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,3,19.84,2.16,0,0.0,27,3,602.777,243.206,,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,87,703.412,53.74,0,0.0,131,3,286.353,307.365,5.629,,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,1,5.486,0.68,0,0.0,25,3,187.827,567.686,,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,11,38.088,4.46,0,0.0,35,3,130.074,664.105,,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,38,299.892,27.29,0,0.0,109,3,428.09,344.269,,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,2,14.167,1.75,0,0.0,25,3,202.493,570.875,,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,10,44.079,5.9,0,0.0,33,3,177.445,507.829,,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,76,824.482,56.6,0,0.0,93,3,250.964,365.594,,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,0,0.0,0.0,0,0.0,6,3,90.503,721.166,,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,44,500.266,47.85,0,0.0,83,3,274.889,238.885,4.293,,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,11,66.55,7.02,0,0.0,40,3,258.621,592.117,,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,31,303.573,18.17,0,0.0,54,3,305.546,860.695,,,
alvdal_03gm-04gk_hcfh_as.trs,3,283,1439.934,163,1090.188,75.71,80,753.555,52.33,0,0.0,83,3,340.937,255.326,4.474,,
alvdal_03gm-jbj_hcfh_as.trs,2,114,990.28,36,263.102,26.57,6,42.041,4.25,0,0.0,30,3,180.573,677.078,,,
alvdal_04gk-jbj_hcfh_amg_as.trs,2,177,961.96,32,144.992,15.07,7,34.638,3.6,0,0.0,25,3,293.757,632.635,,,
aremark_01um-02uk_ahl_eo.trs,3,375,1222.08,157,812.063,66.45,31,222.154,18.18,0,0.0,126,3,404.96,583.591,,0.93,
aremark_01um-lh_ahl_eo.trs,2,145,732.48,40,172.755,23.58,7,45.859,6.26,0,0.0,33,3,258.867,414.28,,,
aremark_02uk-lh_ahl_eo.trs,2,154,520.16,48,200.441,38.53,11,40.644,7.81,0,0.0,37,3,236.123,213.241,,,
aremark_03gm-04gk_eo_sb.trs,2,265,1816.8,228,1700.552,93.6,109,1173.815,64.61,0,0.0,119,3,220.788,406.291,,,
aremark_03gm-lh_eo_sb.trs,2,105,899.04,36,221.491,24.64,10,60.489,6.73,0,0.0,26,3,631.263,192.741,,,
aremark_04gk-rvf_eo_sb.trs,2,209,915.36,110,354.233,38.7,35,141.466,15.45,0,0.0,75,3,191.564,541.011,,,
aure_01um-02uk_sb_amg.trs,2,162,1252.4,97,1014.975,81.04,28,452.6,36.14,0,0.0,69,3,412.255,354.918,,,
aure_01um-ta_sb_lh.trs,2,96,714.0,26,172.248,24.12,8,59.379,8.32,0,0.0,18,3,418.712,195.096,,,
aure_02uk-ta_sb_lh.trs,2,113,792.76,36,395.98,49.95,7,125.867,15.88,0,0.0,29,3,362.635,273.59,,,
aure_03gm-04gk_sb_lh.trs,2,185,1152.0,111,930.867,80.8,44,538.615,46.75,0,0.0,67,3,233.365,373.51,,,
aure_03gm-ta_sb_lh.trs,2,75,639.8,17,173.88,27.18,5,64.27,10.05,0,0.0,12,3,422.72,147.874,,,
aure_04gk-ta_sb_lh.trs,2,52,678.0,18,157.537,23.24,6,103.354,15.24,0,0.0,12,3,465.014,92.439,,,
ballangen_01um-02uk_ifg_eo.trs,2,407,1661.12,132,807.48,48.61,12,93.845,5.65,0,0.0,120,3,922.642,609.958,,,
ballangen_01um-kb_ifg_eo.trs,2,98,490.68,26,157.815,32.16,4,32.916,6.71,0,0.0,22,3,267.93,177.481,,,
ballangen_02uk-kb_ifg_eo.trs,2,105,528.8,37,183.189,34.64,4,14.766,2.79,0,0.0,33,3,182.538,296.345,,,
ballangen_03gm-04gk_kk_sb.trs,3,154,1802.76,127,1720.204,95.42,89,1475.178,81.83,0,0.0,38,3,111.402,193.016,6.834,,
ballangen_03gm-kb_kk_sb.trs,2,82,703.68,39,364.212,51.76,14,123.123,17.5,0,0.0,25,3,473.1,93.905,,,
ballangen_04gk-kb_kk_sb.trs,2,88,660.04,49,371.085,56.22,15,139.264,21.1,0,0.0,34,3,424.858,84.377,,,
beiarn_01um-02uk_kk_sb.trs,2,417,2036.28,262,1662.781,81.66,56,469.921,23.08,0,0.0,206,3,636.68,917.116,,,
