file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,63,660.678,60.0,0,0.0,63,1,238.469,192.052,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,7,33.324,6.04,0,0.0,9,1,49.063,464.367,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,9,77.338,8.4,0,0.0,21,1,575.084,213.401,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,153,946.689,72.32,0,0.0,65,1,150.707,199.734,5.629,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,13,122.828,15.13,0,0.0,13,1,128.466,509.705,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,18,62.263,7.29,0,0.0,28,1,105.899,664.105,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,84,585.133,53.25,0,0.0,63,1,252.977,234.141,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,8,38.668,4.77,0,0.0,19,1,179.579,569.288,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,25,105.138,14.08,0,0.0,18,1,147.336,476.879,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,122,1095.469,75.21,0,0.0,47,1,157.837,187.734,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,3,11.9,1.45,0,0.0,3,1,78.603,721.166,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,71,651.377,62.31,0,0.0,56,1,163.34,199.323,4.293,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,30,189.642,20.0,0,0.0,21,1,212.576,515.07,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,62,503.54,30.14,0,0.0,23,1,182.546,783.728,,
alvdal_03gm-04gk_hcfh_as.trs,3,283,1439.934,163,1090.188,75.71,123,955.657,66.37,0,0.0,40,1,235.428,158.733,4.474,
alvdal_03gm-jbj_hcfh_as.trs,2,114,990.28,36,263.102,26.57,18,110.813,11.19,0,0.0,18,1,124.584,664.295,,
alvdal_04gk-jbj_hcfh_amg_as.trs,2,177,961.96,32,144.992,15.07,14,64.395,6.69,0,0.0,18,1,264.0,632.635,,
aremark_01um-02uk_ahl_eo.trs,3,375,1222.08,157,812.063,66.45,73,469.881,38.45,0,0.0,84,1,343.204,398.55,,
aremark_01um-lh_ahl_eo.trs,2,145,732.48,40,172.755,23.58,20,95.163,12.99,0,0.0,20,1,220.977,402.866,,
aremark_02uk-lh_ahl_eo.trs,2,154,520.16,48,200.441,38.53,19,65.95,12.68,0,0.0,29,1,217.841,206.217,,
aremark_03gm-04gk_eo_sb.trs,2,265,1816.8,228,1700.552,93.6,171,1478.893,81.4,0,0.0,57,1,122.803,199.198,,
aremark_03gm-lh_eo_sb.trs,2,105,899.04,36,221.491,24.64,26,183.325,20.39,0,0.0,10,1,580.723,120.445,,
aremark_04gk-rvf_eo_sb.trs,2,209,915.36,110,354.233,38.7,76,257.179,28.1,0,0.0,34,1,96.332,520.53,,
aure_01um-02uk_sb_amg.trs,2,162,1252.4,97,1014.975,81.04,56,742.013,59.25,0,0.0,41,1,264.704,213.056,,
aure_01um-ta_sb_lh.trs,2,96,714.0,26,172.248,24.12,16,112.405,15.74,0,0.0,10,1,389.532,171.25,,
aure_02uk-ta_sb_lh.trs,2,113,792.76,36,395.98,49.95,18,249.256,31.44,0,0.0,18,1,304.557,208.279,,
aure_03gm-04gk_sb_lh.trs,2,185,1152.0,111,930.867,80.8,70,713.141,61.9,0,0.0,41,1,165.819,266.53,,
aure_03gm-ta_sb_lh.trs,2,75,639.8,17,173.88,27.18,12,153.419,23.98,0,0.0,5,1,355.645,125.8,,
aure_04gk-ta_sb_lh.trs,2,52,678.0,18,157.537,23.24,8,107.146,15.8,0,0.0,10,1,465.014,88.647,,
ballangen_01um-02uk_ifg_eo.trs,2,407,1661.12,132,807.48,48.61,39,269.671,16.23,0,0.0,93,1,855.133,501.641,,
ballangen_01um-kb_ifg_eo.trs,2,98,490.68,26,157.815,32.16,4,32.916,6.71,0,0.0,22,1,267.93,177.481,,
ballangen_02uk-kb_ifg_eo.trs,2,105,528.8,37,183.189,34.64,15,61.197,11.57,0,0.0,22,1,144.81,287.642,,
ballangen_03gm-04gk_kk_sb.trs,3,154,1802.76,127,1720.204,95.42,114,1658.269,91.99,0,0.0,13,1,61.86,59.467,6.834,
ballangen_03gm-kb_kk_sb.trs,2,82,703.68,39,364.212,51.76,30,293.131,41.66,0,0.0,9,1,333.37,63.627,,
ballangen_04gk-kb_kk_sb.trs,2,88,660.04,49,371.085,56.22,30,202.599,30.69,0,0.0,19,1,381.463,64.437,,
beiarn_01um-02uk_kk_sb.trs,2,417,2036.28,262,1662.781,81.66,117,944.392,46.38,0,0.0,145,1,425.153,654.172,,
beiarn_01um-kb_kk_sb.trs,3,132,724.52,48,188.925,26.08,24,88.349,12.19,0,0.0,24,1,418.85,176.49,1.469,
beiarn_02uk-kb_kk_sb.trs,2,101,663.8,41,226.417,34.11,23,132.147,19.91,0,0.0,18,1,377.704,135.467,,
beiarn_03gm-04gk_kk_sb.trs,2,273,1556.04,167,1194.021,76.73,96,785.38,50.47,0,0.0,71,1,390.389,376.624,,
beiarn_03gm-kb_sb_kk.trs,2,190,790.0,77,377.91,47.84,46,255.952,32.4,0,0.0,31,1,406.295,113.816,,
beiarn_04gk-kb_sb_kk.trs,2,174,677.68,58,201.039,29.67,32,129.959,19.18,0,0.0,26,1,354.925,154.592,,
beiarn_05um-kb_kk_eo.trs,2,74,620.2,19,154.71,24.95,11,110.746,17.86,0,0.0,8,1,378.726,128.072,,
bergen_01um-02uk_amg_sb_eo.trs,2,225,1060.8,100,624.629,58.88,41,304.136,28.67,0,0.0,59,1,385.214,229.313,,
bergen_01um-mi_amg_sb_lh.trs,2,87,729.095,18,96.911,13.29,8,47.521,6.52,0,0.0,10,1,147.529,517.379,,
bergen_02uk-sl_amg_sb_lh.trs,2,127,499.2,29,135.683,27.18,13,50.301,10.08,0,0.0,16,1,130.919,298.544,,
bergen_03gm-04gk_sb_lh.trs,3,144,1278.24,114,1189.726,93.08,92,1102.453,86.25,0,0.0,22,1,84.649,76.209,0.954,
bergen_03gm-mi_sb_lh.trs,3,39,690.24,14,105.933,15.35,9,97.038,14.06,0,0.0,5,1,555.333,30.047,,
bergen_04gk-sl_sb_lh.trs,2,144,934.56,33,136.169,14.57,12,53.609,5.74,0,0.0,21,1,692.532,168.029,,
bjugn_15-19_sb_ifg.trs,2,245,1748.16,173,1588.829,90.89,136,1484.974,84.94,0,0.0,37,1,95.039,114.299,,
bjugn_15-aml_sb_ifg.trs,2,122,887.52,20,97.132,10.94,9,32.795,3.7,0,0.0,11,1,734.654,109.792,,
bjugn_16-23_hl_kk_ifg.trs,2,228,1340.44,93,708.885,52.88,45,421.669,31.46,0,0.0,48,1,607.605,279.048,,
bjugn_19-aml_sb_ifg.trs,2,90,842.88,33,141.527,16.79,22,110.735,13.14,0,0.0,11,1,645.604,63.337,,
bjugn_23-pmk_hl_kk.trs,2,93,884.16,21,136.197,15.4,12,80.807,9.14,0,0.0,9,1,261.09,537.564,,
bodoe_01um-02uk_eo_sb.trs,2,271,1307.64,101,835.501,63.89,54,561.019,42.9,0,0.0,47,1,445.007,298.347,,
bodoe_01um-kb_eo_sb.trs,2,121,462.08,32,138.279,29.93,10,48.698,10.54,0,0.0,22,1,191.073,201.774,,
bodoe_02uk-kb_eo_sb.trs,2,95,630.96,21,118.036,18.71,7,29.786,4.72,0,0.0,14,1,194.319,381.553,,
bodoe_03gm-04gk_sb_eo.trs,2,176,1428.4,115,1286.832,90.09,84,1130.876,79.17,0,0.0,31,1,88.627,198.535,,
bodoe_03gm-kb_sb_eo.trs,2,99,727.64,20,121.318,16.67,11,90.82,12.48,0,0.0,9,1,465.818,143.935,,
bodoe_04gk-kb_sb_eo.trs,2,143,703.16,39,145.268,20.66,20,84.476,12.01,0,0.0,19,1,430.239,162.833,,
boemlo_01um-02uk_amg_sb_lh.trs,2,249,1236.502,144,1017.579,82.29,80,742.015,60.01,0,0.0,64,1,327.467,153.246,,
boemlo_01um-sl_amg_sb_lh.trs,2,178,745.41,40,173.898,23.33,15,83.752,11.24,0,0.0,25,1,170.921,467.658,,
boemlo_02uk-eo_amg_sb_lh.trs,2,59,661.793,8,76.56,11.57,3,44.062,6.66,0,0.0,5,1,88.974,523.272,,
boemlo_03gm-04gk_ahl_lh.trs,2,159,1554.218,124,1447.179,93.11,98,1309.111,84.23,0,0.0,26,1,47.821,178.313,,
boemlo_03gm-sl_ahl_lh.trs,2,103,1235.033,36,284.134,23.01,21,72.324,5.86,0,0.0,15,1,75.291,1081.647,,
boemlo_04gk-eo_ahl_lh.trs,2,42,906.738,15,151.265,16.68,6,113.184,12.48,0,0.0,9,1,60.496,733.058,,
botnhamn_03-06_as_mi_sl_as.trs,3,332,1910.12,164,1421.119,74.4,105,1084.537,56.78,0,0.0,59,1,333.95,489.559,0.572,
botnhamn_03-mn_mi_as.trs,2,65,692.72,29,263.011,37.97,19,144.994,20.93,0,0.0,10,1,23.349,514.695,,
botnhamn_06-jbj_as.trs,2,75,684.36,13,110.067,16.08,7,80.976,11.83,0,0.0,6,1,456.427,146.957,,
brekkom_01um-03gm_amg_eo_as.trs,3,294,1412.56,161,1056.554,74.8,93,747.227,52.9,0,0.0,68,1,287.048,349.774,6.963,
brekkom_01um-sl_amg_eo_as.trs,3,64,467.96,9,44.846,9.58,1,4.442,0.95,0,0.0,8,1,340.234,122.855,0.429,
brekkom_02uk-04gk_amg_hcfh_as.trs,2,276,1343.24,141,988.65,73.6,66,631.916,47.04,0,0.0,75,1,364.013,320.525,,
brekkom_02uk-sl_amg_hcfh_as.trs,2,80,446.0,15,51.441,11.53,5,9.978,2.24,0,0.0,10,1,94.608,320.118,,
