file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4
brekkom_03gm-sl_amg_eo_as.trs,2,98,425.24,18,78.02,18.35,6,29.539,6.95,0,0.0,12,1,131.747,249.708,,
brekkom_04gk-iii_amg_hcfh_as.trs,2,92,739.76,25,187.101,25.29,12,109.747,14.84,0,0.0,13,1,203.497,419.624,,
brunlanes_01um-02uk_ahl_amg.trs,2,477,1523.52,250,1074.128,70.5,111,583.61,38.31,0,0.0,139,1,445.271,457.842,,
brunlanes_01um-ifg_ahl_amg.trs,2,51,890.88,12,50.887,5.71,2,11.525,1.29,0,0.0,10,1,85.699,730.405,,
brunlanes_02uk-ifg_ahl_amg.trs,2,126,864.0,42,222.127,25.71,19,98.827,11.44,0,0.0,23,1,156.303,587.979,,
brunlanes_03gm-04gk_ifg_amg.trs,2,298,1582.56,204,1380.12,87.21,137,1123.215,70.97,0,0.0,67,1,140.613,290.598,,
brunlanes_03gm-ifg_ifg_amg.trs,2,68,839.04,15,166.329,19.82,6,14.084,1.68,0,0.0,9,1,77.148,722.577,,
brunlanes_04gk-ifg_ifg_amg.trs,2,36,962.88,12,273.265,28.38,4,56.938,5.91,0,0.0,8,1,35.032,791.052,,
bud_01um-02uk_eo_hl_ifg.trs,2,452,1823.36,184,1102.339,60.46,96,645.075,35.38,0,0.0,88,1,628.551,504.032,,
bud_01um-ma_eo_lh.trs,2,102,668.72,24,128.912,19.28,10,61.492,9.2,0,0.0,14,1,503.357,85.317,,
bud_02uk-ma_eo_hl_ifg.trs,2,113,675.0,24,108.036,16.01,7,16.148,2.39,0,0.0,17,1,193.73,453.103,,
bud_03gm-04gk_hl_eo.trs,2,271,1830.92,114,1182.713,64.6,72,822.917,44.95,0,0.0,42,1,568.182,415.139,,
bud_03gm-ma_hl_eo.trs,2,127,767.52,31,136.14,17.74,9,37.412,4.87,0,0.0,22,1,132.15,572.14,,
bud_04gk-ma_hl_eo.trs,2,81,731.0,20,89.701,12.27,9,42.903,5.87,0,0.0,11,1,553.19,128.172,,
dalsbygda_01um-02uk_ifg_eo.trs,2,337,1551.36,155,1086.713,70.05,78,690.913,44.54,0,0.0,77,1,428.038,421.892,,
dalsbygda_01um-ifg_ifg_eo.trs,2,122,1646.88,22,130.428,7.92,9,73.306,4.45,0,0.0,13,1,200.254,402.554,,
dalsbygda_02uk-ifg_ifg_eo.trs,2,143,812.88,44,219.221,26.97,15,98.237,12.09,0,0.0,29,1,183.097,520.451,,
dalsbygda_03gm-04gk_ifg_eo.trs,2,267,1646.88,153,1351.072,82.04,93,1066.837,64.78,0,0.0,60,1,205.242,361.857,,
dalsbygda_03gm-ifg_ifg_eo.trs,3,127,936.16,26,145.4,15.53,10,42.554,4.55,0,0.0,16,1,201.123,677.332,4.284,
dalsbygda_04gk-ifg_ifg_eo.trs,2,231,960.88,58,204.299,21.26,17,72.198,7.51,0,0.0,41,1,242.266,627.346,,
darbu_01um-02uk_ifg_amg.trs,2,297,1645.64,147,1087.035,66.06,65,586.886,35.66,0,0.0,82,1,645.506,356.604,,
darbu_01um-sl_ifg_amg.trs,2,134,749.04,32,153.785,20.53,14,63.248,8.44,0,0.0,18,1,227.485,447.075,,
darbu_02uk-ks_ifg_amg.trs,2,84,745.52,23,203.636,27.31,9,103.745,13.92,0,0.0,14,1,128.462,504.395,,
darbu_03gm-04gk_sb_lh.trs,3,349,1240.68,167,830.285,66.92,108,606.749,48.9,0,0.0,59,1,402.782,231.149,,
darbu_03gm-sl_sb_lh.trs,2,88,571.72,19,118.648,20.75,6,50.2,8.78,0,0.0,13,1,428.66,92.86,,
darbu_04gk-ks_sb_lh.trs,2,161,876.28,35,149.647,17.08,14,77.447,8.84,0,0.0,21,1,555.062,243.771,,
drevsjoe_01um-02uk_lh_as.trs,2,311,1129.0,97,572.184,50.68,23,188.956,16.74,0,0.0,74,1,379.246,536.329,,
drevsjoe_01um-ms_amg_as.trs,2,94,818.0,9,107.992,13.2,2,23.632,2.89,0,0.0,7,1,295.704,484.284,,
drevsjoe_02uk-ms_lh_as.trs,2,49,466.6,7,30.926,6.63,2,4.731,1.01,0,0.0,5,1,133.023,290.666,,
drevsjoe_03gm-04gk_mi_as.trs,2,169,1201.08,120,1050.097,87.43,81,858.996,71.52,0,0.0,39,1,136.556,205.528,,
drevsjoe_03gm-ms_lh_sl_as.trs,2,46,859.0,4,40.548,4.72,2,4.483,0.52,0,0.0,2,1,75.282,761.009,,
drevsjoe_04gk-ms_as_sl_as.trs,2,45,887.36,4,19.27,2.17,3,11.734,1.32,0,0.0,1,1,119.104,561.055,,
eidfjord_01um-02uk_amg_sb_lh.trs,2,267,1451.6,126,1117.752,77.0,73,824.761,56.82,0,0.0,53,1,326.106,294.008,,
eidfjord_01um-sl_amg_sb_lh.trs,2,44,577.64,9,144.621,25.04,4,16.094,2.79,0,0.0,5,1,35.763,520.107,,
eidfjord_02uk-mi_amg_sb_lh.trs,2,122,893.12,32,288.008,32.25,13,156.673,17.54,0,0.0,19,1,109.978,612.924,,
eidfjord_03gm-04gk_sb_lh.trs,3,193,1788.96,125,1629.473,91.08,77,1346.601,75.27,0,0.0,48,1,284.267,157.448,,0.644
eidfjord_03gm-sl_sb_amg.trs,2,69,706.76,15,178.019,25.19,5,40.112,5.68,0,0.0,10,1,576.877,89.771,,
eidfjord_04gk-mi_sb_lh.trs,2,46,806.6,11,83.781,10.39,6,66.419,8.23,0,0.0,5,1,666.665,71.775,,
enebakk_01um-02uk_kk_eo.trs,2,233,1452.0,148,1231.86,84.84,92,992.546,68.36,0,0.0,56,1,,,213.273,233.477
enebakk_01um-ifg_kk_eo.trs,2,87,722.12,28,178.204,24.68,11,60.54,8.38,0,0.0,17,1,157.436,493.824,,
enebakk_02uk-ifg_kk_eo.trs,2,106,748.4,33,182.338,24.36,10,52.089,6.96,0,0.0,23,1,182.697,499.428,,
enebakk_03gm-04gk_ifg_sb.trs,2,323,2054.32,243,1645.771,80.11,178,1403.317,68.31,0,0.0,65,1,120.989,337.091,,
enebakk_03gm-sr_ifg_sb.trs,2,142,1112.16,45,276.221,24.84,24,212.928,19.15,0,0.0,21,1,94.797,700.592,,
enebakk_04gk-sr_ifg_sb.trs,2,48,908.16,13,94.847,10.44,7,33.339,3.67,0,0.0,6,1,40.595,711.932,,
evje_01um-02uk_eo_lh_lh.trs,3,302,1229.48,94,695.264,56.55,49,384.733,31.29,0,0.0,45,1,566.847,255.471,0.41,
evje_01um-sl_eo_lh.trs,2,138,793.32,26,121.945,15.37,14,50.867,6.41,0,0.0,12,1,291.513,424.588,,
evje_02uk-eo_eo_lh.trs,2,75,572.96,13,79.981,13.96,4,36.565,6.38,0,0.0,9,1,195.294,327.007,,
evje_03gm-04gk_ifg_lh.trs,2,255,1254.4,163,1012.479,80.71,112,810.946,64.65,0,0.0,51,1,188.161,183.049,,
evje_03gm-sl_ifg_lh.trs,2,94,678.56,23,145.234,21.4,8,34.967,5.15,0,0.0,15,1,149.505,470.694,,
evje_04gk-eo_ifg_lh.trs,3,74,764.88,22,75.614,9.89,11,46.422,6.07,0,0.0,11,1,48.554,638.019,16.766,
flaa_01um-02uk_ifg_eo.trs,2,117,1107.92,67,861.677,77.77,31,556.959,50.27,0,0.0,36,1,287.438,245.584,,
flaa_01um-sl_ifg_eo.trs,2,96,794.88,18,91.655,11.53,7,53.337,6.71,0,0.0,11,1,126.955,594.151,,
flaa_02uk-amg_ifg_eo.trs,2,98,754.8,27,149.262,19.78,5,24.383,3.23,0,0.0,22,1,229.394,454.833,,
flaa_03gm-04gk_eo_ifg_amg.trs,2,159,1426.36,112,1302.484,91.32,88,1215.485,85.22,0,0.0,24,1,67.064,,136.299,
flaa_03gm-sl_eo_ifg_lh.trs,2,50,614.4,14,64.884,10.56,9,48.091,7.83,0,0.0,5,1,510.904,47.845,,
flaa_04gk-amg_eo_ifg_lh.trs,2,134,686.96,38,149.416,21.75,17,56.995,8.3,0,0.0,21,1,425.844,138.615,,
fredrikstad_01um-02uk_eo_ahl_lh.trs,2,455,1594.08,227,1192.279,74.79,119,789.956,49.56,0,0.0,108,1,376.306,376.26,,
fredrikstad_01um-eo_eo_ahl_lh.trs,2,72,767.04,21,178.468,23.27,16,155.812,20.31,0,0.0,5,1,69.723,527.054,,
fredrikstad_02uk-eo_eo_ahl_lh.trs,2,170,980.64,37,225.105,22.95,10,80.07,8.17,0,0.0,27,1,293.818,583.643,,
fredrikstad_03gm-04gk_ahl_amg.trs,3,221,1383.36,99,853.812,61.72,52,457.416,33.07,0,0.0,47,1,395.459,518.563,11.922,
fredrikstad_03gm-eo_ahl_lh.trs,2,57,818.88,12,140.653,17.18,6,96.767,11.82,0,0.0,6,1,111.082,601.969,,
fredrikstad_04gk-eo_ahl_eo.trs,2,133,891.0,29,129.503,14.53,17,86.456,9.7,0,0.0,12,1,660.979,139.559,,
fusa_01um-02uk_ifg_lh.trs,2,185,1114.078,85,753.805,67.66,34,402.912,36.17,0,0.0,51,1,431.226,270.234,,
fusa_01um-mi_ifg_amg.trs,3,58,810.208,14,109.608,13.53,10,100.455,12.4,0,0.0,4,1,66.864,616.49,,
fusa_02uk-sl_ifg_amg.trs,2,145,839.07,45,235.754,28.1,15,71.86,8.56,0,0.0,30,1,228.255,523.144,,
fusa_03gm-04gk_amg_lh.trs,2,141,1092.223,121,1057.552,96.83,93,962.578,88.13,0,0.0,28,1,30.292,88.812,,
fusa_03gm-mi_amg_lh.trs,2,44,1098.863,14,228.053,20.75,8,155.422,14.14,0,0.0,6,1,894.29,37.109,,
fusa_04gk-sl_amg_lh.trs,2,121,765.282,26,156.514,20.45,9,48.622,6.35,0,0.0,17,1,578.553,115.071,,
gauldal_01um-02uk_sb_lh.trs,3,168,1272.0,94,1125.941,88.52,52,864.664,67.98,0,0.0,42,1,215.96,176.074,7.178,
gauldal_01um-lks_sb_lh.trs,2,32,740.08,4,17.391,2.35,1,4.46,0.6,0,0.0,3,1,662.098,49.336,,
gauldal_02uk-lks_sb_lh.trs,2,66,708.0,12,70.464,9.95,2,7.992,1.13,0,0.0,10,1,544.732,84.192,,
gauldal_03gm-04gk_ifg_hl_eo.trs,2,260,1835.44,149,1342.717,73.16,87,937.981,51.1,0,0.0,62,1,630.195,246.159,,
gauldal_03gm-ma_ifg_hl_eo.trs,2,82,706.52,5,21.795,3.08,1,0.835,0.12,0,0.0,4,1,197.955,481.283,,
gauldal_04gk-ma_ifg_hl_eo.trs,2,90,682.52,21,88.461,12.96,5,23.86,3.5,0,0.0,16,1,145.661,469.979,,
gausdal_01um-05um_hcfh_sl_as.trs,2,259,1259.422,107,843.571,66.98,51,510.757,40.55,0,0.0,56,1,302.116,399.364,,
gausdal_01um-mi_hcfh_as.trs,2,72,967.88,5,18.553,1.92,2,4.078,0.42,0,0.0,3,1,105.682,837.397,,
gausdal_04gk-08gk_hcfh_as.trs,2,238,1199.64,191,1128.689,94.09,138,937.44,78.14,0,0.0,53,1,101.002,159.457,,
gausdal_04gk-sl_hcfh_as_as.trs,2,124,820.04,39,185.006,22.56,14,57.96,7.07,0,0.0,25,1,108.244,645.537,,
gausdal_05um-sl_hcfh_as.trs,2,80,707.16,18,71.875,10.16,10,35.386,5.0,0,0.0,8,1,126.284,545.49,,
gausdal_08gk-mi_hcfh_as.trs,2,80,1449.16,23,221.967,15.32,12,81.308,5.61,0,0.0,11,1,72.104,1284.42,,
gjesdal_01um-02uk_ahl_lh.trs,3,230,1383.48,107,938.451,67.83,57,628.072,45.4,0,0.0,50,1,285.407,2.051,464.731,
gjesdal_01um-jbj_ahl_lh.trs,2,227,1355.0,53,256.546,18.93,25,149.676,11.05,0,0.0,28,1,304.06,895.183,,
gjesdal_02uk-sr_sr_amg.trs,2,130,563.88,23,109.331,19.39,17,85.355,15.14,0,0.0,6,1,104.798,371.696,,
gjesdal_03gm-04gk_sr_eo.trs,2,209,1831.44,121,1558.864,85.12,88,1412.738,77.14,0,0.0,33,1,216.758,199.894,,
gjesdal_03gm-sr_sr_amg.trs,3,95,713.72,11,42.526,5.96,7,26.797,3.75,0,0.0,4,1,159.979,505.213,7.041,
gjesdal_04gk-jbj_ahl_lh.trs,2,92,925.52,35,247.729,26.77,21,164.828,17.81,0,0.0,14,1,110.658,650.034,,
hammerfest_02uk-06uk_ahl_sb.trs,3,123,781.44,8,105.934,13.56,2,17.768,2.27,0,0.0,6,1,601.134,100.103,18.948,
hammerfest_02uk-jbj_ahl_sb.trs,2,186,1058.88,46,221.98,20.96,20,119.817,11.32,0,0.0,26,1,275.25,657.493,,
hammerfest_03gm-04gk_sb_amg_lh.trs,4,346,1926.72,201,1478.94,76.76,151,1257.239,65.25,0,0.0,50,1,326.821,155.483,0.525,2.432
hammerfest_03gm-jbj_sb_amg.trs,2,294,1367.04,71,402.65,29.45,49,253.001,18.51,0,0.0,22,1,843.024,230.464,,
hammerfest_04gk-jbj_sb_amg.trs,2,178,1294.08,50,282.287,21.81,26,190.825,14.75,0,0.0,24,1,820.124,263.386,,
hattfjelldal_01um-02uk_ifg_sb.trs,2,396,2658.36,177,1718.393,64.64,88,1165.262,43.83,0,0.0,89,1,607.077,762.931,,
hattfjelldal_01um-ov_ifg_sb.trs,2,132,771.44,40,155.194,20.12,20,78.5,10.18,0,0.0,20,1,170.584,499.963,,
hattfjelldal_02uk-ov_ifg_sb.trs,2,129,814.32,27,157.141,19.3,10,75.364,9.25,0,0.0,17,1,194.114,517.132,,
hattfjelldal_03gm-04gk_kk_lh.trs,3,362,2516.72,277,2293.038,91.11,213,2038.188,80.99,0,0.0,64,1,38.529,240.725,198.372,
hattfjelldal_03gm-ov_kk_lh.trs,2,110,835.44,37,213.606,25.57,22,117.535,14.07,0,0.0,15,1,533.076,176.263,,
hattfjelldal_04gk-ov_kk_lh.trs,2,77,937.28,18,193.022,20.59,14,186.453,19.89,0,0.0,4,1,87.034,653.138,,
heroeyMR_01um-02uk_hl_lh.trs,2,388,1873.68,152,1099.646,58.69,65,627.348,33.48,0,0.0,87,1,653.561,503.674,,
heroeyMR_01um-ta_hl_lh.trs,2,67,624.52,18,157.543,25.23,10,98.494,15.77,0,0.0,8,1,386.69,97.413,,
heroeyMR_02uk-ta_hl_lh.trs,2,81,455.52,13,108.866,23.9,2,8.275,1.82,0,0.0,11,1,141.583,265.336,,
heroeyMR_03gm-04gk_kk_ifg.trs,2,288,1683.0,127,915.391,54.39,62,546.602,32.48,0,0.0,65,1,783.666,308.367,,
heroeyMR_03gm-ta_kk_hl.trs,2,78,734.88,35,275.318,37.46,16,74.691,10.16,0,0.0,19,1,191.711,441.97,,
heroeyMR_04gk-ta_kk_hl.trs,2,89,565.76,45,312.67,55.27,27,234.141,41.39,0,0.0,18,1,73.132,239.799,,
heroeyN_01um-02uk_kk_ifg.trs,3,301,1635.88,175,1265.581,77.36,99,857.566,52.42,0,0.0,76,1,354.674,403.314,,
heroeyN_01um-kh_kk_ifg.trs,2,93,524.92,13,64.473,12.28,5,31.08,5.92,0,0.0,8,1,357.894,132.592,,
heroeyN_02uk-kh_kk_ifg.trs,2,98,578.48,25,94.41,16.32,6,32.539,5.62,0,0.0,19,1,404.354,134.687,,
heroeyN_03gm-04gk_kk_sb.trs,2,178,1960.32,141,1839.164,93.82,116,1687.527,86.08,0,0.0,25,1,120.2,150.183,,
heroeyN_03gm-kh_kk_sb.trs,2,72,855.4,18,212.35,24.82,10,147.129,17.2,0,0.0,8,1,668.594,37.332,,
heroeyN_04gk-kh_kk_sb.trs,2,97,714.6,27,146.174,20.46,14,75.035,10.5,0,0.0,13,1,583.96,53.661,,
hjartdal_01um-02uk_mi_lh.trs,2,392,1359.44,132,710.402,52.26,84,480.22,35.32,0,0.0,48,1,370.74,483.487,,
hjartdal_01um-as_mi_lh.trs,2,57,482.12,2,10.732,2.23,0,0.0,0.0,0,0.0,2,1,155.419,326.701,,
hjartdal_02uk-as_mi_lh.trs,2,75,538.28,15,63.52,11.8,5,23.202,4.31,0,0.0,10,1,115.303,393.122,,
hjartdal_03gm-04gk_lh_amg.trs,2,325,1821.28,151,809.714,44.46,79,523.683,28.75,0,0.0,72,1,394.923,295.534,,
hjartdal_03gm-sl_lh_amg_mi.trs,2,102,807.68,18,112.991,13.99,5,71.902,8.9,0,0.0,13,1,135.774,582.903,,
hjartdal_04gk-sl_lh_amg_mi.trs,2,141,750.0,27,148.897,19.85,9,40.017,5.34,0,0.0,18,1,179.857,523.377,,
hjelmeland_01um-02uk_ahl_amg.trs,2,258,1237.84,106,862.628,69.69,69,691.422,55.86,0,0.0,37,1,259.189,282.819,,
hjelmeland_01um-sr_amg_ahl_lh.trs,2,80,675.24,11,100.245,14.85,6,56.962,8.44,0,0.0,5,1,511.09,103.873,,
hjelmeland_02uk-ks_ahl_amg.trs,2,51,710.08,10,71.89,10.12,2,9.825,1.38,0,0.0,8,1,128.995,568.685,,
hjelmeland_03gm-04gk_amg_ahl_lh.trs,2,299,1599.36,197,1314.615,82.2,137,1080.975,67.59,0,0.0,60,1,175.215,339.76,,
