file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
skaugdalen_37-39_sb_kk.trs,2,275,1543.2,147,1277.738,82.8,47,655.205,42.46,0,0.0,100,4,242.866,637.686,,,
skaugdalen_37-pmk_sb_kk.trs,2,91,959.52,24,119.807,12.49,4,15.473,1.61,0,0.0,20,4,773.563,166.67,,,
skaugdalen_43-pmk_hl_kk.trs,2,134,656.16,27,166.766,25.42,7,71.259,10.86,0,0.0,20,4,301.082,274.638,,,
skreia_01um-02uk_amg_lh_as.trs,2,438,1502.24,170,944.408,62.87,42,367.101,24.44,0,0.0,128,4,678.266,409.772,,,
skreia_01um-as_amg_as.trs,2,43,589.32,6,35.696,6.06,0,0.0,0.0,0,0.0,6,4,80.862,496.058,,,
skreia_02uk-as_amg_as.trs,2,42,729.6,10,59.147,8.11,0,0.0,0.0,0,0.0,10,4,74.935,641.907,,,
skreia_03gm-04gk_amg_as.trs,2,233,1105.08,101,760.813,68.85,19,257.093,23.26,0,0.0,82,4,412.497,424.592,,,
skreia_03gm-sl_amg_as.trs,2,169,609.0,44,179.395,29.46,5,19.847,3.26,0,0.0,39,4,215.95,356.426,,,
skreia_04gk-sl_amg_as.trs,2,87,726.88,29,118.707,16.33,1,2.074,0.29,0,0.0,28,4,156.239,564.06,,,
soemna_01um-02uk_sb_eo.trs,2,489,2551.04,228,1832.13,71.82,51,718.904,28.18,0,0.0,177,4,1097.523,715.154,,,
soemna_01um-ov_sb_eo.trs,2,80,401.48,15,53.257,13.27,2,3.005,0.75,0,0.0,13,4,289.097,89.466,,,
soemna_02uk-ov_sb_eo.trs,2,53,408.76,6,29.535,7.23,0,0.0,0.0,0,0.0,6,4,267.881,127.811,,,
soemna_03gm-04gk_kk_ifg.trs,3,294,2268.12,171,1682.085,74.16,47,568.712,25.07,0,0.0,124,4,718.474,738.511,150.407,,
soemna_03gm-ov_kk_sb.trs,2,130,1051.32,29,215.974,20.54,6,27.846,2.65,0,0.0,23,4,184.95,825.472,,,
soemna_04gk-ov_kk_sb.trs,2,112,1236.8,39,279.445,22.59,6,85.943,6.95,0,0.0,33,4,947.223,192.142,,,
sokndal_01um-02uk_ahl_lh.trs,2,321,1448.6,150,1080.763,74.61,22,281.216,19.41,0,0.0,128,4,642.137,524.532,,,
sokndal_01um-jbj_ahl_lh.trs,2,96,749.48,14,153.528,20.48,0,0.0,0.0,0,0.0,14,4,217.425,528.264,,,
sokndal_02uk-sr_ahl_lh.trs,2,171,769.32,50,207.866,27.02,5,22.467,2.92,0,0.0,45,4,220.458,526.395,,,
sokndal_03gm-04gk_sb_ahl_amg.trs,3,374,1646.24,269,1460.876,88.74,90,731.766,44.45,0,0.0,179,4,365.035,548.056,,,
sokndal_03gm-jbj_sb_ahl.trs,2,193,949.76,44,307.292,32.35,5,47.161,4.97,0,0.0,39,4,676.563,207.244,,,
sokndal_04gk-jbj_sb_ahl_amg.trs,3,109,632.92,29,214.077,33.82,3,14.309,2.26,0,0.0,26,4,516.142,97.905,,2.814,
stamsund_01um-02uk_ahl_sb.trs,3,268,2562.8,138,2190.991,85.49,25,752.847,29.38,0,0.0,113,4,751.678,1036.693,,4.149,
stamsund_01um-ov_ahl_sb.trs,2,87,445.24,13,69.356,15.58,0,0.0,0.0,0,0.0,13,4,197.074,230.495,,,
stamsund_02uk-ov_ahl_sb.trs,2,78,536.08,15,93.672,17.47,4,36.914,6.89,0,0.0,11,4,160.657,338.509,,,
stamsund_03gm-04gk_sb_amg.trs,4,384,2613.84,207,2305.942,88.22,60,1360.101,52.03,0,0.0,147,4,569.267,603.293,54.184,2.528,
stamsund_03gm-ov_sb_amg.trs,2,83,744.64,7,79.688,10.7,0,0.0,0.0,0,0.0,7,4,643.586,97.315,,,
stamsund_04gk-ov_sb_amg.trs,2,95,982.28,14,219.6,22.36,2,61.24,6.23,0,0.0,12,4,822.19,98.85,,,
stange_02uk-03gm_amg_as.trs,2,156,1904.84,118,1772.536,93.05,60,1248.894,65.56,0,0.0,58,4,164.041,462.473,,,
stange_02uk-aml_amg_as.trs,2,80,721.44,24,150.878,20.91,4,47.899,6.64,0,0.0,20,4,144.916,528.625,,,
stange_03gm-aml_amg_as.trs,2,49,679.12,14,98.153,14.45,3,46.74,6.88,0,0.0,11,4,83.145,549.235,,,
stange_06uk-07gm_mi_as.trs,3,146,1138.36,101,1004.621,88.25,32,564.034,49.55,0,0.0,69,4,169.193,395.594,9.539,,
stange_06uk-aml_mi_as.trs,2,75,590.04,26,225.189,38.17,5,56.714,9.61,0,0.0,21,4,126.948,396.625,,,
stange_07gm-aml_mi_as.trs,2,106,743.8,39,246.75,33.17,9,49.103,6.6,0,0.0,30,4,144.014,550.683,,,
stavanger_01um-02uk_sr_ahl_lh.trs,2,420,1411.32,125,709.193,50.25,22,153.303,10.86,0,0.0,103,4,647.689,610.328,,,
stavanger_01um-ks_ahl_sr.trs,2,81,586.6,20,82.224,14.02,4,21.81,3.72,0,0.0,16,4,157.118,407.672,,,
stavanger_02uk-sr_sb_ahl.trs,2,81,613.4,13,89.998,14.67,0,0.0,0.0,0,0.0,13,4,415.703,192.546,,,
stavanger_03gm-04gk_ahl_sr.trs,2,249,869.52,117,607.566,69.87,39,342.81,39.43,0,0.0,78,4,353.197,173.513,,,
stavanger_03gm-ks_ahl_sr.trs,2,150,868.84,21,75.806,8.72,3,11.011,1.27,0,0.0,18,4,62.217,789.797,,,
stavanger_04gk-sr_ahl_sr_amg.trs,2,94,1080.0,15,52.283,4.84,3,7.869,0.73,0,0.0,12,4,123.59,921.45,,,
steigen_01um-02uk_kk_sb.trs,2,138,1246.44,87,1079.548,86.61,32,600.569,48.18,0,0.0,55,4,220.704,423.408,,,
steigen_01um-kb_kk_sb.trs,2,95,626.56,26,138.549,22.11,2,6.612,1.06,0,0.0,24,4,396.614,218.015,,,
steigen_02uk-kb_kk_sb.trs,2,76,621.36,24,233.799,37.63,3,10.629,1.71,0,0.0,21,4,491.413,103.632,,,
steigen_03gm-04gk_kk_ifg.trs,3,243,1886.76,167,1573.842,83.42,64,925.444,49.05,0,0.0,103,4,399.113,457.244,,,
steigen_03gm-kb_kk_ifg.trs,2,108,991.76,44,329.692,33.24,11,88.435,8.92,0,0.0,33,4,728.273,145.282,,,
steigen_04gk-kb_kk_ifg_sb.trs,2,149,840.64,64,337.702,40.17,8,67.804,8.07,0,0.0,56,4,476.229,200.207,,,
stokkoeya_24-29_hl_kk_lh.trs,2,324,1273.16,182,936.223,73.54,59,432.63,33.98,0,0.0,123,4,290.323,542.337,,,
stokkoeya_24-aml_hl_kk_ifg.trs,2,197,869.2,44,174.827,20.11,10,39.703,4.57,0,0.0,34,4,274.926,550.636,,,
stokkoeya_29-aml_hl_kk_ifg.trs,2,83,872.72,23,154.886,17.75,6,29.434,3.37,0,0.0,17,4,80.689,759.787,,,
stokkoeya_31-33_ifg_hl_eo.trs,2,226,974.32,73,552.232,56.68,4,30.777,3.16,0,0.0,69,4,531.55,391.708,,,
stokkoeya_33-pmk_ifg_kk_eo.trs,2,128,859.2,13,138.413,16.11,2,29.648,3.45,0,0.0,11,4,470.491,349.747,,,
stonglandseidet_47-50_lh_as.trs,3,156,1616.6,96,1424.909,88.14,35,847.025,52.4,0,0.0,61,4,397.942,347.712,20.702,,
stonglandseidet_47-jbj_lh_as.trs,2,122,1190.28,29,197.278,16.57,2,4.875,0.41,0,0.0,27,4,203.595,979.735,,,
stonglandseidet_50-jbj_lh_as.trs,2,108,694.24,40,306.324,44.12,11,116.171,16.73,0,0.0,29,4,123.241,454.828,,,
stranda_01um-02uk_hl_eo.trs,3,288,1820.08,137,1401.894,77.02,23,388.049,21.32,0,0.0,114,4,401.471,979.599,12.424,,
stranda_01um-ta_hl_kk.trs,2,88,714.0,39,209.993,29.41,1,1.316,0.18,0,0.0,38,4,454.152,232.773,,,
stranda_02uk-ta_hl_kk.trs,2,79,562.52,27,183.766,32.67,6,28.063,4.99,0,0.0,21,4,257.565,254.603,,,
stranda_03gm-04gk_sb_ifg.trs,2,476,1792.52,303,1504.148,83.91,80,684.086,38.16,0,0.0,223,4,528.287,552.89,,,
stranda_03gm-ta_sb_ifg.trs,2,122,652.52,42,172.523,26.44,5,34.221,5.24,0,0.0,37,4,399.643,203.536,,,
stranda_04gk-ta_sb_kk.trs,2,138,622.52,42,231.302,37.16,9,29.931,4.81,0,0.0,33,4,410.887,135.543,,,
stryn_01um-02uk_sr_lh.trs,3,418,1743.04,192,1190.131,68.28,29,325.612,18.68,0,0.0,163,4,698.737,679.015,20.301,,
stryn_01um-as_sr_as.trs,2,44,636.72,7,56.225,8.83,0,0.0,0.0,0,0.0,7,4,122.04,504.187,,,
stryn_02uk-as_sr_lh_eo.trs,2,77,487.2,8,48.469,9.95,0,0.0,0.0,0,0.0,8,4,299.754,171.516,,,
stryn_03gm-04gk_sb_lh.trs,3,207,1421.12,82,880.218,61.94,20,328.426,23.11,0,0.0,62,4,625.978,342.731,4.221,,
stryn_03gm-as_sb_lh.trs,2,59,633.12,12,84.588,13.36,0,0.0,0.0,0,0.0,12,4,144.429,473.596,,,
stryn_04gk-as_sb_hcfh_lh.trs,2,92,610.44,18,76.63,12.55,1,1.717,0.28,0,0.0,17,4,199.744,403.661,,,
suldal_01um-02uk_ahl_amg.trs,3,316,1607.52,163,1109.727,69.03,32,305.987,19.03,0,0.0,131,4,480.474,784.811,4.126,,
suldal_01um-sr_ahl_lh.trs,2,82,649.92,9,53.378,8.21,0,0.0,0.0,0,0.0,9,4,166.226,438.255,,,
suldal_02uk-ks_ahl_lh.trs,2,76,649.72,18,142.494,21.93,2,6.17,0.95,0,0.0,16,4,126.066,511.856,,,
suldal_03gm-04gk_sb_amg.trs,2,419,1634.632,269,1314.692,80.43,77,605.153,37.02,0,0.0,192,4,316.203,711.487,,,
suldal_03gm-sr_sb_amg.trs,2,165,872.103,31,102.137,11.71,2,7.212,0.83,0,0.0,29,4,582.846,274.176,,,
surnadal_18-19_ifg_sb.trs,2,242,1431.84,153,1161.441,81.12,41,431.986,30.17,0,0.0,112,4,524.9,460.86,,,
surnadal_18-jbj_ifg_sb.trs,2,150,1078.08,49,215.591,20.0,5,14.47,1.34,0,0.0,44,4,197.915,800.684,,,
surnadal_19-jbj_ifg_sb.trs,3,148,975.0,41,278.708,28.59,5,18.798,1.93,0,0.0,36,4,182.744,744.656,0.781,,
surnadal_28-29_eo_sb.trs,2,330,1523.52,103,790.579,51.89,7,91.374,6.0,0,0.0,96,4,607.15,665.216,,,
surnadal_28-sl_eo_sb.trs,2,110,442.56,20,79.212,17.9,1,2.743,0.62,0,0.0,19,4,188.161,184.247,,,
surnadal_29-sl_eo_sb.trs,2,114,410.4,19,85.567,20.85,0,0.0,0.0,0,0.0,19,4,215.249,186.214,,,
sylling_01um-02uk_ahl_lh.trs,3,349,1567.68,180,1113.339,71.02,26,226.034,14.42,0,0.0,154,4,536.626,796.956,2.269,,
sylling_01um-ahl_ahl_amg.trs,3,39,773.76,6,19.253,2.49,0,0.0,0.0,0,0.0,6,4,49.947,697.724,9.038,,
sylling_02uk-ahl_ahl_lh.trs,2,149,1119.36,27,119.677,10.69,2,3.536,0.32,0,0.0,25,4,173.623,916.208,,,
sylling_03gm-04gk_ifg_amg.trs,3,188,1422.24,146,1262.052,88.74,48,852.497,59.94,0,0.0,98,4,304.316,237.168,,,
sylling_03gm-ahl_ifg_amg.trs,2,22,1138.56,3,8.805,0.77,1,1.22,0.11,0,0.0,2,4,23.615,1080.696,,,
sylling_04gk-ahl_ifg_amg.trs,2,62,910.08,12,171.916,18.89,1,0.811,0.09,0,0.0,11,4,50.729,837.482,,,
tana_01um-02uk_hl_eo.trs,2,213,2636.32,121,2159.627,81.92,17,583.632,22.14,0,0.0,104,4,808.083,1165.356,,,
tana_01um-ov_hl_eo.trs,2,77,570.2,8,65.571,11.5,1,7.107,1.25,0,0.0,7,4,212.728,323.727,,,
tana_02uk-ov_hl_eo.trs,3,62,593.2,13,90.232,15.21,0,0.0,0.0,0,0.0,13,4,352.501,204.713,,,
