file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,47,511.954,46.49,0,0.0,79,2,364.616,214.629,,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,2,10.202,1.85,0,0.0,14,2,72.185,464.367,,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,5,45.363,4.93,0,0.0,25,2,579.663,240.797,,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,118,822.239,62.82,0,0.0,100,2,221.338,253.553,5.629,,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,7,99.544,12.26,0,0.0,19,2,151.75,509.705,,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,16,55.04,6.45,0,0.0,30,2,113.122,664.105,,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,56,434.282,39.52,0,0.0,91,2,353.373,284.596,,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,3,18.259,2.25,0,0.0,24,2,198.401,570.875,,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,13,55.134,7.38,0,0.0,30,2,166.39,507.829,,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,95,929.352,63.8,0,0.0,74,2,218.794,292.894,,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,2,8.632,1.05,0,0.0,4,2,81.871,721.166,,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,52,558.541,53.43,0,0.0,75,2,233.712,221.787,4.293,,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,22,150.884,15.92,0,0.0,29,2,231.945,534.459,,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,45,391.837,23.45,0,0.0,40,2,252.816,825.161,,,
