file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,22,283.926,25.79,0,0.0,104,5,535.672,271.601,,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,0,0.0,0.0,0,0.0,16,5,82.387,464.367,,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,2,14.865,1.62,0,0.0,28,5,602.777,248.181,,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,56,545.277,41.66,0,0.0,162,5,357.345,387.211,11.042,1.884,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,1,5.486,0.68,0,0.0,25,5,187.827,567.686,,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,4,17.594,2.06,0,0.0,42,5,150.568,664.105,,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,22,218.556,19.89,0,0.0,125,5,478.958,374.737,,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,1,3.243,0.4,0,0.0,26,5,213.417,570.875,,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,6,11.56,1.55,0,0.0,37,5,202.357,515.436,,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,45,628.07,43.12,0,0.0,124,5,348.112,464.858,,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,0,0.0,0.0,0,0.0,6,5,90.503,721.166,,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,27,364.768,34.89,0,0.0,100,5,392.621,256.651,4.293,,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,6,43.098,4.55,0,0.0,45,5,258.621,615.569,,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,7,48.315,2.89,0,0.0,78,5,364.861,1056.638,,,
alvdal_03gm-04gk_hcfh_as.trs,3,283,1439.934,163,1090.188,75.71,43,533.538,37.05,0,0.0,120,5,450.194,366.086,4.474,,
alvdal_03gm-jbj_hcfh_as.trs,2,114,990.28,36,263.102,26.57,4,21.342,2.16,0,0.0,32,5,183.673,694.677,,,
alvdal_04gk-jbj_hcfh_amg_as.trs,2,177,961.96,32,144.992,15.07,1,3.1,0.32,0,0.0,31,5,317.282,640.648,,,
aremark_01um-02uk_ahl_eo.trs,3,375,1222.08,157,812.063,66.45,14,100.421,8.22,0,0.0,143,5,439.058,671.226,,0.93,
aremark_01um-lh_ahl_eo.trs,2,145,732.48,40,172.755,23.58,4,34.273,4.68,0,0.0,36,5,268.502,416.231,,,
aremark_02uk-lh_ahl_eo.trs,2,154,520.16,48,200.441,38.53,6,17.983,3.46,0,0.0,42,5,256.065,215.96,,,
aremark_03gm-04gk_eo_sb.trs,2,265,1816.8,228,1700.552,93.6,70,891.336,49.06,0,0.0,158,5,338.061,571.497,,,
aremark_03gm-lh_eo_sb.trs,2,105,899.04,36,221.491,24.64,6,43.915,4.88,0,0.0,30,5,637.368,203.21,,,
aremark_04gk-rvf_eo_sb.trs,2,209,915.36,110,354.233,38.7,12,41.756,4.56,0,0.0,98,5,245.611,586.674,,,
aure_01um-02uk_sb_amg.trs,2,162,1252.4,97,1014.975,81.04,16,247.464,19.76,0,0.0,81,5,423.965,548.344,,,
aure_01um-ta_sb_lh.trs,2,96,714.0,26,172.248,24.12,3,35.317,4.95,0,0.0,23,5,420.62,217.25,,,
aure_02uk-ta_sb_lh.trs,2,113,792.76,36,395.98,49.95,3,13.76,1.74,0,0.0,33,5,474.742,273.59,,,
aure_03gm-04gk_sb_lh.trs,2,185,1152.0,111,930.867,80.8,29,402.483,34.94,0,0.0,82,5,310.066,432.941,,,
aure_03gm-ta_sb_lh.trs,2,75,639.8,17,173.88,27.18,2,24.206,3.78,0,0.0,15,5,460.614,150.044,,,
aure_04gk-ta_sb_lh.trs,2,52,678.0,18,157.537,23.24,1,1.312,0.19,0,0.0,17,5,558.066,101.429,,,
ballangen_01um-02uk_ifg_eo.trs,2,407,1661.12,132,807.48,48.61,7,39.184,2.36,0,0.0,125,5,973.392,613.869,,,
ballangen_01um-kb_ifg_eo.trs,2,98,490.68,26,157.815,32.16,2,18.63,3.8,0,0.0,24,5,282.216,177.481,,,
ballangen_02uk-kb_ifg_eo.trs,2,105,528.8,37,183.189,34.64,2,2.131,0.4,0,0.0,35,5,195.173,296.345,,,
ballangen_03gm-04gk_kk_sb.trs,3,154,1802.76,127,1720.204,95.42,67,1270.777,70.49,0,0.0,60,5,212.743,296.076,6.834,,
ballangen_03gm-kb_kk_sb.trs,2,82,703.68,39,364.212,51.76,10,57.656,8.19,0,0.0,29,5,534.181,98.291,,,
ballangen_04gk-kb_kk_sb.trs,2,88,660.04,49,371.085,56.22,5,31.033,4.7,0,0.0,44,5,489.937,127.529,,,
beiarn_01um-02uk_kk_sb.trs,2,417,2036.28,262,1662.781,81.66,28,252.7,12.41,0,0.0,234,5,701.91,1069.107,,,
beiarn_01um-kb_kk_sb.trs,3,132,724.52,48,188.925,26.08,1,0.719,0.1,0,0.0,47,5,435.81,247.16,1.469,,
beiarn_02uk-kb_kk_sb.trs,2,101,663.8,41,226.417,34.11,4,35.434,5.34,0,0.0,37,5,387.737,222.147,,,
beiarn_03gm-04gk_kk_sb.trs,2,273,1556.04,167,1194.021,76.73,20,178.58,11.48,0,0.0,147,5,792.18,581.633,,,
beiarn_03gm-kb_sb_kk.trs,2,190,790.0,77,377.91,47.84,12,81.327,10.29,0,0.0,65,5,509.151,185.585,,,
beiarn_04gk-kb_sb_kk.trs,2,174,677.68,58,201.039,29.67,7,30.43,4.49,0,0.0,51,5,369.92,239.126,,,
beiarn_05um-kb_kk_eo.trs,2,74,620.2,19,154.71,24.95,1,1.505,0.24,0,0.0,18,5,443.263,172.776,,,
bergen_01um-02uk_amg_sb_eo.trs,2,225,1060.8,100,624.629,58.88,3,41.26,3.89,0,0.0,97,5,468.856,408.547,,,
bergen_01um-mi_amg_sb_lh.trs,2,87,729.095,18,96.911,13.29,2,10.332,1.42,0,0.0,16,5,183.038,519.059,,,
bergen_02uk-sl_amg_sb_lh.trs,2,127,499.2,29,135.683,27.18,2,7.702,1.54,0,0.0,27,5,167.375,304.687,,,
bergen_03gm-04gk_sb_lh.trs,3,144,1278.24,114,1189.726,93.08,38,702.497,54.96,0,0.0,76,5,323.895,236.919,0.954,,
bergen_03gm-mi_sb_lh.trs,3,39,690.24,14,105.933,15.35,2,14.691,2.13,0,0.0,12,5,628.952,38.775,,,
bergen_04gk-sl_sb_lh.trs,2,144,934.56,33,136.169,14.57,1,9.96,1.07,0,0.0,32,5,692.532,211.678,,,
bjugn_15-19_sb_ifg.trs,2,245,1748.16,173,1588.829,90.89,62,1062.221,60.76,0,0.0,111,5,350.699,281.392,,,
bjugn_15-aml_sb_ifg.trs,2,122,887.52,20,97.132,10.94,1,4.253,0.48,0,0.0,19,5,737.11,135.878,,,
bjugn_16-23_hl_kk_ifg.trs,2,228,1340.44,93,708.885,52.88,7,71.565,5.34,0,0.0,86,5,714.374,522.383,,,
bjugn_19-aml_sb_ifg.trs,2,90,842.88,33,141.527,16.79,6,34.892,4.14,0,0.0,27,5,667.937,116.847,,,
bjugn_23-pmk_hl_kk.trs,2,93,884.16,21,136.197,15.4,1,13.925,1.57,0,0.0,20,5,306.004,559.532,,,
bodoe_01um-02uk_eo_sb.trs,2,271,1307.64,101,835.501,63.89,7,68.176,5.21,0,0.0,94,5,521.242,714.955,,,
bodoe_01um-kb_eo_sb.trs,2,121,462.08,32,138.279,29.93,1,2.599,0.56,0,0.0,31,5,230.487,208.459,,,
bodoe_02uk-kb_eo_sb.trs,2,95,630.96,21,118.036,18.71,1,3.529,0.56,0,0.0,20,5,220.576,381.553,,,
