file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
bodoe_03gm-04gk_sb_eo.trs,2,176,1428.4,115,1286.832,90.09,28,421.803,29.53,0,0.0,87,5,642.664,353.571,,,
bodoe_03gm-kb_sb_eo.trs,2,99,727.64,20,121.318,16.67,0,0.0,0.0,0,0.0,20,5,501.05,199.523,,,
bodoe_04gk-kb_sb_eo.trs,2,143,703.16,39,145.268,20.66,2,7.909,1.12,0,0.0,37,5,461.471,208.168,,,
boemlo_01um-02uk_amg_sb_lh.trs,2,249,1236.502,144,1017.579,82.29,13,194.407,15.72,0,0.0,131,5,544.999,483.322,,,
boemlo_01um-sl_amg_sb_lh.trs,2,178,745.41,40,173.898,23.33,1,1.455,0.2,0,0.0,39,5,192.683,528.193,,,
boemlo_02uk-eo_amg_sb_lh.trs,2,59,661.793,8,76.56,11.57,0,0.0,0.0,0,0.0,8,5,99.925,556.383,,,
boemlo_03gm-04gk_ahl_lh.trs,2,159,1554.218,124,1447.179,93.11,47,904.649,58.21,0,0.0,77,5,285.912,344.684,,,
boemlo_03gm-sl_ahl_lh.trs,2,103,1235.033,36,284.134,23.01,8,15.45,1.25,0,0.0,28,5,132.165,1081.647,,,
boemlo_04gk-eo_ahl_lh.trs,2,42,906.738,15,151.265,16.68,1,8.542,0.94,0,0.0,14,5,108.671,789.525,,,
botnhamn_03-06_as_mi_sl_as.trs,3,332,1910.12,164,1421.119,74.4,26,376.764,19.72,0,0.0,138,5,645.197,877.857,8.8,,
botnhamn_03-mn_mi_as.trs,2,65,692.72,29,263.011,37.97,3,4.762,0.69,0,0.0,26,5,51.138,627.138,,,
botnhamn_06-jbj_as.trs,2,75,684.36,13,110.067,16.08,1,0.715,0.1,0,0.0,12,5,470.188,213.457,,,
brekkom_01um-03gm_amg_eo_as.trs,3,294,1412.56,161,1056.554,74.8,25,264.216,18.7,0,0.0,136,5,493.519,625.832,7.445,,
brekkom_01um-sl_amg_eo_as.trs,3,64,467.96,9,44.846,9.58,0,0.0,0.0,0,0.0,9,5,344.676,122.855,0.429,,
brekkom_02uk-04gk_amg_hcfh_as.trs,2,276,1343.24,141,988.65,73.6,11,170.596,12.7,0,0.0,130,5,646.718,499.14,,,
brekkom_02uk-sl_amg_hcfh_as.trs,2,80,446.0,15,51.441,11.53,0,0.0,0.0,0,0.0,15,5,101.271,323.433,,,
brekkom_03gm-sl_amg_eo_as.trs,2,98,425.24,18,78.02,18.35,0,0.0,0.0,0,0.0,18,5,161.286,249.708,,,
brekkom_04gk-iii_amg_hcfh_as.trs,2,92,739.76,25,187.101,25.29,3,25.636,3.47,0,0.0,22,5,278.88,428.352,,,
brunlanes_01um-02uk_ahl_amg.trs,2,477,1523.52,250,1074.128,70.5,18,142.244,9.34,0,0.0,232,5,666.937,677.543,,,
brunlanes_01um-ifg_ahl_amg.trs,2,51,890.88,12,50.887,5.71,0,0.0,0.0,0,0.0,12,5,97.224,730.405,,,
brunlanes_02uk-ifg_ahl_amg.trs,2,126,864.0,42,222.127,25.71,3,5.413,0.63,0,0.0,39,5,239.391,598.305,,,
brunlanes_03gm-04gk_ifg_amg.trs,2,298,1582.56,204,1380.12,87.21,47,644.312,40.71,0,0.0,157,5,264.325,645.789,,,
brunlanes_03gm-ifg_ifg_amg.trs,2,68,839.04,15,166.329,19.82,2,2.123,0.25,0,0.0,13,5,85.603,726.083,,,
brunlanes_04gk-ifg_ifg_amg.trs,2,36,962.88,12,273.265,28.38,2,20.87,2.17,0,0.0,10,5,40.446,821.706,,,
bud_01um-02uk_eo_hl_ifg.trs,2,452,1823.36,184,1102.339,60.46,27,207.536,11.38,0,0.0,157,5,858.552,711.57,,,
bud_01um-ma_eo_lh.trs,2,102,668.72,24,128.912,19.28,5,21.648,3.24,0,0.0,19,5,530.183,98.335,,,
bud_02uk-ma_eo_hl_ifg.trs,2,113,675.0,24,108.036,16.01,1,0.811,0.12,0,0.0,23,5,206.849,455.321,,,
bud_03gm-04gk_hl_eo.trs,2,271,1830.92,114,1182.713,64.6,25,416.392,22.74,0,0.0,89,5,669.897,719.949,,,
bud_03gm-ma_hl_eo.trs,2,127,767.52,31,136.14,17.74,1,5.642,0.74,0,0.0,30,5,157.334,578.726,,,
bud_04gk-ma_hl_eo.trs,2,81,731.0,20,89.701,12.27,1,11.655,1.59,0,0.0,19,5,553.19,159.42,,,
dalsbygda_01um-02uk_ifg_eo.trs,2,337,1551.36,155,1086.713,70.05,10,92.719,5.98,0,0.0,145,5,726.301,721.823,,,
dalsbygda_01um-ifg_ifg_eo.trs,2,122,1646.88,22,130.428,7.92,0,0.0,0.0,0,0.0,22,5,236.401,439.713,,,
dalsbygda_02uk-ifg_ifg_eo.trs,2,143,812.88,44,219.221,26.97,2,14.631,1.8,0,0.0,42,5,245.686,541.468,,,
dalsbygda_03gm-04gk_ifg_eo.trs,2,267,1646.88,153,1351.072,82.04,21,357.741,21.72,0,0.0,132,5,664.516,611.679,,,
dalsbygda_03gm-ifg_ifg_eo.trs,3,127,936.16,26,145.4,15.53,1,1.011,0.11,0,0.0,25,5,242.666,677.332,4.284,,
dalsbygda_04gk-ifg_ifg_eo.trs,2,231,960.88,58,204.299,21.26,0,0.0,0.0,0,0.0,58,5,306.685,635.125,,,
darbu_01um-02uk_ifg_amg.trs,2,297,1645.64,147,1087.035,66.06,10,106.672,6.48,0,0.0,137,5,956.075,526.249,,,
darbu_01um-sl_ifg_amg.trs,2,134,749.04,32,153.785,20.53,2,2.417,0.32,0,0.0,30,5,269.921,465.47,,,
darbu_02uk-ks_ifg_amg.trs,2,84,745.52,23,203.636,27.31,1,46.932,6.3,0,0.0,22,5,169.146,520.524,,,
darbu_03gm-04gk_sb_lh.trs,3,349,1240.68,167,830.285,66.92,35,286.854,23.12,0,0.0,132,5,583.945,369.881,,,
darbu_03gm-sl_sb_lh.trs,2,88,571.72,19,118.648,20.75,0,0.0,0.0,0,0.0,19,5,466.1,105.62,,,
darbu_04gk-ks_sb_lh.trs,2,161,876.28,35,149.647,17.08,3,9.563,1.09,0,0.0,32,5,574.18,292.537,,,
drevsjoe_01um-02uk_lh_as.trs,2,311,1129.0,97,572.184,50.68,5,73.121,6.48,0,0.0,92,5,404.707,626.703,,,
drevsjoe_01um-ms_amg_as.trs,2,94,818.0,9,107.992,13.2,0,0.0,0.0,0,0.0,9,5,319.336,484.284,,,
drevsjoe_02uk-ms_lh_as.trs,2,49,466.6,7,30.926,6.63,0,0.0,0.0,0,0.0,7,5,137.754,290.666,,,
drevsjoe_03gm-04gk_mi_as.trs,2,169,1201.08,120,1050.097,87.43,30,462.483,38.51,0,0.0,90,5,351.67,386.927,,,
drevsjoe_03gm-ms_lh_sl_as.trs,2,46,859.0,4,40.548,4.72,0,0.0,0.0,0,0.0,4,5,79.765,761.009,,,
drevsjoe_04gk-ms_as_sl_as.trs,2,45,887.36,4,19.27,2.17,0,0.0,0.0,0,0.0,4,5,123.707,568.186,,,
eidfjord_01um-02uk_amg_sb_lh.trs,2,267,1451.6,126,1117.752,77.0,30,501.547,34.55,0,0.0,96,5,405.133,538.195,,,
eidfjord_01um-sl_amg_sb_lh.trs,2,44,577.64,9,144.621,25.04,0,0.0,0.0,0,0.0,9,5,51.857,520.107,,,
eidfjord_02uk-mi_amg_sb_lh.trs,2,122,893.12,32,288.008,32.25,1,1.383,0.15,0,0.0,31,5,136.215,741.977,,,
eidfjord_03gm-04gk_sb_lh.trs,3,193,1788.96,125,1629.473,91.08,30,781.869,43.71,0,0.0,95,5,642.573,363.874,,0.644,
eidfjord_03gm-sl_sb_amg.trs,2,69,706.76,15,178.019,25.19,1,0.358,0.05,0,0.0,14,5,608.427,97.975,,,
eidfjord_04gk-mi_sb_lh.trs,2,46,806.6,11,83.781,10.39,1,6.896,0.85,0,0.0,10,5,708.183,89.78,,,
enebakk_01um-02uk_kk_eo.trs,2,233,1452.0,148,1231.86,84.84,32,498.993,34.37,0,0.0,116,5,,,462.078,478.225,
enebakk_01um-ifg_kk_eo.trs,2,87,722.12,28,178.204,24.68,2,11.066,1.53,0,0.0,26,5,188.561,512.173,,,
enebakk_02uk-ifg_kk_eo.trs,2,106,748.4,33,182.338,24.36,2,3.396,0.45,0,0.0,31,5,221.393,509.425,,,
enebakk_03gm-04gk_ifg_sb.trs,2,323,2054.32,243,1645.771,80.11,62,700.797,34.11,0,0.0,181,5,470.673,689.927,,,
enebakk_03gm-sr_ifg_sb.trs,2,142,1112.16,45,276.221,24.84,2,2.363,0.21,0,0.0,43,5,152.469,853.485,,,
enebakk_04gk-sr_ifg_sb.trs,2,48,908.16,13,94.847,10.44,1,4.388,0.48,0,0.0,12,5,50.54,730.938,,,
evje_01um-02uk_eo_lh_lh.trs,3,302,1229.48,94,695.264,56.55,8,86.439,7.03,0,0.0,86,5,767.194,353.418,0.41,,
evje_01um-sl_eo_lh.trs,2,138,793.32,26,121.945,15.37,0,0.0,0.0,0,0.0,26,5,336.275,430.693,,,
evje_02uk-eo_eo_lh.trs,2,75,572.96,13,79.981,13.96,0,0.0,0.0,0,0.0,13,5,198.847,360.019,,,
evje_03gm-04gk_ifg_lh.trs,2,255,1254.4,163,1012.479,80.71,49,484.272,38.61,0,0.0,114,5,380.128,317.756,,,
evje_03gm-sl_ifg_lh.trs,2,94,678.56,23,145.234,21.4,3,2.962,0.44,0,0.0,20,5,156.107,496.097,,,
evje_04gk-eo_ifg_lh.trs,3,74,764.88,22,75.614,9.89,0,0.0,0.0,0,0.0,22,5,81.016,651.979,16.766,,
flaa_01um-02uk_ifg_eo.trs,2,117,1107.92,67,861.677,77.77,4,147.728,13.33,0,0.0,63,5,427.223,515.03,,,
flaa_01um-sl_ifg_eo.trs,2,96,794.88,18,91.655,11.53,1,1.837,0.23,0,0.0,17,5,159.666,612.94,,,
flaa_02uk-amg_ifg_eo.trs,2,98,754.8,27,149.262,19.78,1,0.227,0.03,0,0.0,26,5,238.208,470.175,,,
flaa_03gm-04gk_eo_ifg_amg.trs,2,159,1426.36,112,1302.484,91.32,40,874.334,61.3,0,0.0,72,5,255.487,,289.027,,
flaa_03gm-sl_eo_ifg_lh.trs,2,50,614.4,14,64.884,10.56,3,22.174,3.61,0,0.0,11,5,511.906,72.76,,,
flaa_04gk-amg_eo_ifg_lh.trs,2,134,686.96,38,149.416,21.75,0,0.0,0.0,0,0.0,38,5,440.991,180.463,,,
fredrikstad_01um-02uk_eo_ahl_lh.trs,2,455,1594.08,227,1192.279,74.79,34,297.573,18.67,0,0.0,193,5,606.156,638.793,,,
fredrikstad_01um-eo_eo_ahl_lh.trs,2,72,767.04,21,178.468,23.27,0,0.0,0.0,0,0.0,21,5,128.885,623.704,,,
fredrikstad_02uk-eo_eo_ahl_lh.trs,2,170,980.64,37,225.105,22.95,2,37.779,3.85,0,0.0,35,5,320.799,598.953,,,
fredrikstad_03gm-04gk_ahl_amg.trs,3,221,1383.36,99,853.812,61.72,9,69.027,4.99,0,0.0,90,5,570.535,731.876,11.922,,
fredrikstad_03gm-eo_ahl_lh.trs,2,57,818.88,12,140.653,17.18,2,30.119,3.68,0,0.0,10,5,159.415,620.284,,,
fredrikstad_04gk-eo_ahl_eo.trs,2,133,891.0,29,129.503,14.53,2,3.672,0.41,0,0.0,27,5,675.908,207.414,,,
fusa_01um-02uk_ifg_lh.trs,2,185,1114.078,85,753.805,67.66,5,132.413,11.89,0,0.0,80,5,557.056,414.903,,,
fusa_01um-mi_ifg_amg.trs,3,58,810.208,14,109.608,13.53,2,5.933,0.73,0,0.0,12,5,108.535,669.341,,,
fusa_02uk-sl_ifg_amg.trs,2,145,839.07,45,235.754,28.1,2,3.024,0.36,0,0.0,43,5,273.387,546.848,,,
fusa_03gm-04gk_amg_lh.trs,2,141,1092.223,121,1057.552,96.83,52,748.412,68.52,0,0.0,69,5,102.242,231.028,,,
fusa_03gm-mi_amg_lh.trs,2,44,1098.863,14,228.053,20.75,1,7.894,0.72,0,0.0,13,5,1024.03,54.897,,,
fusa_04gk-sl_amg_lh.trs,2,121,765.282,26,156.514,20.45,1,2.7,0.35,0,0.0,25,5,599.386,140.16,,,
gauldal_01um-02uk_sb_lh.trs,3,168,1272.0,94,1125.941,88.52,13,349.946,27.51,0,0.0,81,5,545.501,361.251,7.178,,
gauldal_01um-lks_sb_lh.trs,2,32,740.08,4,17.391,2.35,0,0.0,0.0,0,0.0,4,5,662.098,53.796,,,
gauldal_02uk-lks_sb_lh.trs,2,66,708.0,12,70.464,9.95,1,6.505,0.92,0,0.0,11,5,544.732,85.679,,,
gauldal_03gm-04gk_ifg_hl_eo.trs,2,260,1835.44,149,1342.717,73.16,31,466.577,25.42,0,0.0,118,5,954.21,393.548,,,
gauldal_03gm-ma_ifg_hl_eo.trs,2,82,706.52,5,21.795,3.08,0,0.0,0.0,0,0.0,5,5,197.955,482.118,,,
gauldal_04gk-ma_ifg_hl_eo.trs,2,90,682.52,21,88.461,12.96,1,1.324,0.19,0,0.0,20,5,168.197,469.979,,,
gausdal_01um-05um_hcfh_sl_as.trs,2,259,1259.422,107,843.571,66.98,16,252.116,20.02,0,0.0,91,5,430.058,530.063,,,
gausdal_01um-mi_hcfh_as.trs,2,72,967.88,5,18.553,1.92,0,0.0,0.0,0,0.0,5,5,109.76,837.397,,,
gausdal_04gk-08gk_hcfh_as.trs,2,238,1199.64,191,1128.689,94.09,47,427.12,35.6,0,0.0,144,5,304.377,466.402,,,
gausdal_04gk-sl_hcfh_as_as.trs,2,124,820.04,39,185.006,22.56,3,13.593,1.66,0,0.0,36,5,149.773,648.375,,,
gausdal_05um-sl_hcfh_as.trs,2,80,707.16,18,71.875,10.16,1,2.505,0.35,0,0.0,17,5,159.165,545.49,,,
gausdal_08gk-mi_hcfh_as.trs,2,80,1449.16,23,221.967,15.32,4,22.05,1.52,0,0.0,19,5,109.331,1306.451,,,
gjesdal_01um-02uk_ahl_lh.trs,3,230,1383.48,107,938.451,67.83,11,120.716,8.73,0,0.0,96,5,447.449,2.051,810.045,,
gjesdal_01um-jbj_ahl_lh.trs,2,227,1355.0,53,256.546,18.93,3,18.338,1.35,0,0.0,50,5,386.362,944.219,,,
gjesdal_02uk-sr_sr_amg.trs,2,130,563.88,23,109.331,19.39,5,29.725,5.27,0,0.0,18,5,107.755,424.369,,,
gjesdal_03gm-04gk_sr_eo.trs,2,209,1831.44,121,1558.864,85.12,37,1000.27,54.62,0,0.0,84,5,356.055,473.065,,,
gjesdal_03gm-sr_sr_amg.trs,3,95,713.72,11,42.526,5.96,0,0.0,0.0,0,0.0,11,5,164.515,525.559,8.956,,
gjesdal_04gk-jbj_ahl_lh.trs,2,92,925.52,35,247.729,26.77,6,32.04,3.46,0,0.0,29,5,168.095,725.385,,,
hammerfest_02uk-06uk_ahl_sb.trs,3,123,781.44,8,105.934,13.56,1,1.742,0.22,0,0.0,7,5,617.16,100.103,18.948,,
hammerfest_02uk-jbj_ahl_sb.trs,2,186,1058.88,46,221.98,20.96,4,20.506,1.94,0,0.0,42,5,331.798,700.256,,,
hammerfest_03gm-04gk_sb_amg_lh.trs,4,346,1926.72,201,1478.94,76.76,66,761.175,39.51,0,0.0,135,5,550.406,427.962,0.525,2.432,
hammerfest_03gm-jbj_sb_amg.trs,2,294,1367.04,71,402.65,29.45,22,96.659,7.07,0,0.0,49,5,946.466,283.364,,,
hammerfest_04gk-jbj_sb_amg.trs,2,178,1294.08,50,282.287,21.81,7,57.893,4.47,0,0.0,43,5,910.086,306.356,,,
hattfjelldal_01um-02uk_ifg_sb.trs,2,396,2658.36,177,1718.393,64.64,20,463.262,17.43,0,0.0,157,5,1111.011,960.997,,,
hattfjelldal_01um-ov_ifg_sb.trs,2,132,771.44,40,155.194,20.12,3,13.351,1.73,0,0.0,37,5,217.432,518.264,,,
hattfjelldal_02uk-ov_ifg_sb.trs,2,129,814.32,27,157.141,19.3,1,1.344,0.17,0,0.0,26,5,211.499,573.767,,,
hattfjelldal_03gm-04gk_kk_lh.trs,3,362,2516.72,277,2293.038,91.11,105,1344.272,53.41,0,0.0,172,5,42.394,669.433,459.715,,
hattfjelldal_03gm-ov_kk_lh.trs,2,110,835.44,37,213.606,25.57,1,0.531,0.06,0,0.0,36,5,609.878,216.465,,,
hattfjelldal_04gk-ov_kk_lh.trs,2,77,937.28,18,193.022,20.59,3,47.766,5.1,0,0.0,15,5,135.435,743.424,,,
heroeyMR_01um-02uk_hl_lh.trs,2,388,1873.68,152,1099.646,58.69,21,265.583,14.17,0,0.0,131,5,887.7,631.3,,,
heroeyMR_01um-ta_hl_lh.trs,2,67,624.52,18,157.543,25.23,2,14.688,2.35,0,0.0,16,5,386.69,181.219,,,
heroeyMR_02uk-ta_hl_lh.trs,2,81,455.52,13,108.866,23.9,1,5.962,1.31,0,0.0,12,5,141.583,267.649,,,
heroeyMR_03gm-04gk_kk_ifg.trs,2,288,1683.0,127,915.391,54.39,14,138.686,8.24,0,0.0,113,5,1093.601,406.348,,,
heroeyMR_03gm-ta_kk_hl.trs,2,78,734.88,35,275.318,37.46,5,18.159,2.47,0,0.0,30,5,241.276,448.937,,,
heroeyMR_04gk-ta_kk_hl.trs,2,89,565.76,45,312.67,55.27,3,7.795,1.38,0,0.0,42,5,232.458,306.819,,,
heroeyN_01um-02uk_kk_ifg.trs,3,301,1635.88,175,1265.581,77.36,24,244.289,14.93,0,0.0,151,5,573.42,797.845,,,
heroeyN_01um-kh_kk_ifg.trs,2,93,524.92,13,64.473,12.28,0,0.0,0.0,0,0.0,13,5,370.354,151.212,,,
heroeyN_02uk-kh_kk_ifg.trs,2,98,578.48,25,94.41,16.32,2,17.017,2.94,0,0.0,23,5,414.868,139.695,,,
heroeyN_03gm-04gk_kk_sb.trs,2,178,1960.32,141,1839.164,93.82,65,1256.416,64.09,0,0.0,76,5,381.31,320.184,,,
heroeyN_03gm-kh_kk_sb.trs,2,72,855.4,18,212.35,24.82,1,6.58,0.77,0,0.0,17,5,796.0,50.475,,,
heroeyN_04gk-kh_kk_sb.trs,2,97,714.6,27,146.174,20.46,2,6.63,0.93,0,0.0,25,5,635.144,70.882,,,
hjartdal_01um-02uk_mi_lh.trs,2,392,1359.44,132,710.402,52.26,21,173.528,12.76,0,0.0,111,5,542.776,618.143,,,
hjartdal_01um-as_mi_lh.trs,2,57,482.12,2,10.732,2.23,0,0.0,0.0,0,0.0,2,5,155.419,326.701,,,
hjartdal_02uk-as_mi_lh.trs,2,75,538.28,15,63.52,11.8,2,4.578,0.85,0,0.0,13,5,133.927,393.122,,,
hjartdal_03gm-04gk_lh_amg.trs,2,325,1821.28,151,809.714,44.46,25,188.52,10.35,0,0.0,126,5,520.791,504.829,,,
hjartdal_03gm-sl_lh_amg_mi.trs,2,102,807.68,18,112.991,13.99,0,0.0,0.0,0,0.0,18,5,163.367,627.212,,,
hjartdal_04gk-sl_lh_amg_mi.trs,2,141,750.0,27,148.897,19.85,0,0.0,0.0,0,0.0,27,5,205.971,537.28,,,
hjelmeland_01um-02uk_ahl_amg.trs,2,258,1237.84,106,862.628,69.69,20,301.696,24.37,0,0.0,86,5,468.779,462.955,,,
