file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4
surnadal_18-19_ifg_sb.trs,2,242,1431.84,153,1161.441,81.12,152,1158.007,80.88,0,0.0,1,0,179.985,79.754,,
surnadal_18-jbj_ifg_sb.trs,2,150,1078.08,49,215.591,20.0,46,195.089,18.1,0,0.0,3,0,85.308,732.672,,
surnadal_19-jbj_ifg_sb.trs,3,148,975.0,41,278.708,28.59,40,275.799,28.29,0,0.0,1,0,92.755,577.644,0.781,
surnadal_28-29_eo_sb.trs,2,330,1523.52,103,790.579,51.89,57,519.626,34.11,0,0.0,46,0,316.869,527.245,,
surnadal_28-sl_eo_sb.trs,2,110,442.56,20,79.212,17.9,16,69.366,15.67,0,0.0,4,0,144.886,160.899,,
surnadal_29-sl_eo_sb.trs,2,114,410.4,19,85.567,20.85,12,64.037,15.6,0,0.0,7,0,160.108,177.318,,
sylling_01um-02uk_ahl_lh.trs,3,349,1567.68,180,1113.339,71.02,122,860.157,54.87,0,0.0,58,0,370.424,329.035,2.269,
sylling_01um-ahl_ahl_amg.trs,3,39,773.76,6,19.253,2.49,4,14.958,1.93,0,0.0,2,0,34.989,697.724,9.038,
sylling_02uk-ahl_ahl_lh.trs,2,149,1119.36,27,119.677,10.69,24,113.957,10.18,0,0.0,3,0,71.048,908.362,,
sylling_03gm-04gk_ifg_amg.trs,3,188,1422.24,146,1262.052,88.74,136,1233.371,86.72,0,0.0,10,0,108.12,52.49,,
sylling_03gm-ahl_ifg_amg.trs,2,22,1138.56,3,8.805,0.77,2,7.611,0.67,0,0.0,1,0,17.224,1080.696,,
sylling_04gk-ahl_ifg_amg.trs,2,62,910.08,12,171.916,18.89,9,159.829,17.56,0,0.0,3,0,40.078,689.115,,
tana_01um-02uk_hl_eo.trs,2,213,2636.32,121,2159.627,81.92,100,1951.818,74.04,0,0.0,21,0,237.76,367.493,,
tana_01um-ov_hl_eo.trs,2,77,570.2,8,65.571,11.5,8,65.571,11.5,0,0.0,0,0,157.65,320.341,,
tana_02uk-ov_hl_eo.trs,3,62,593.2,13,90.232,15.21,9,62.964,10.61,0,0.0,4,0,349.257,144.993,,
tana_03gm-04gk_kk_ifg.trs,3,418,2402.36,302,2035.058,84.71,282,1964.028,81.75,0,0.0,20,0,213.289,8.705,199.439,
tana_03gm-ov_kk_sb.trs,2,124,806.4,46,247.906,30.74,46,247.906,30.74,0,0.0,0,0,60.199,489.872,,
tana_04gk-ov_kk_sb.trs,2,114,633.92,47,282.624,44.58,46,281.885,44.47,0,0.0,1,0,66.102,274.079,,
time_01um-02uk_sr_amg.trs,3,306,1004.2,101,497.914,49.58,74,359.825,35.83,0,0.0,27,0,188.583,446.659,1.685,
time_01um-jbj_sr_amg.trs,2,236,823.64,16,67.869,8.24,12,44.13,5.36,0,0.0,4,0,317.255,460.099,,
time_02uk-sr_ahl_amg.trs,2,92,576.72,9,60.489,10.49,8,54.122,9.38,0,0.0,1,0,88.436,411.388,,
time_03gm-04gk_ahl_amg.trs,3,241,1809.96,105,1065.145,58.85,101,1021.672,56.45,0,0.0,4,0,498.479,272.186,,
time_03gm-sr_sr_amg.trs,2,52,757.08,10,41.655,5.5,9,40.221,5.31,0,0.0,1,0,50.27,666.589,,
time_04gk-jbj_ahl_amg.trs,2,111,818.8,25,212.139,25.91,24,207.26,25.31,0,0.0,1,0,440.245,171.295,,
tinn_01um-05um_amg_lh.trs,2,245,1214.96,126,917.724,75.54,106,826.93,68.06,0,0.0,20,0,180.781,201.598,,
tinn_01um-sl_amg_as.trs,2,41,502.44,11,113.392,22.57,8,88.26,17.57,0,0.0,3,0,34.545,370.501,,
tinn_03gm-04gk_amg_lh.trs,2,208,1409.52,96,960.421,68.14,85,911.515,64.67,0,0.0,11,0,281.832,214.718,,
