25.684000	26.328000	spk1
27.568000	30.759000	spk1
31.455000	32.242000	spk1
33.005000	33.959000	spk1
37.465000	38.490000	spk1
40.231000	41.781000	spk1
42.115000	47.790000	spk1
48.386000	57.853000	spk1
59.117000	74.689000	spk1
75.834000	77.360000	spk1
78.195000	99.515000	spk1
100.374000	107.076000	spk1
107.935000	125.296000	spk1
125.868000	149.906000	spk1
151.241000	157.514000	spk1
158.039000	165.909000	spk1
166.577000	172.086000	spk1
172.634000	222.046000	spk1
223.739000	242.292000	spk1
246.775000	252.283000	spk1
253.452000	254.597000	spk1
255.861000	270.264000	spk1
272.339000	312.999000	spk1
313.357000	319.486000	spk1
321.823000	334.008000	spk1
334.723000	335.677000	spk1
335.939000	349.269000	spk1
352.703000	358.260000	spk1
360.692000	364.150000	spk1
365.390000	376.718000	spk1
380.963000	400.875000	spk1
402.664000	409.937000	spk1
413.419000	478.237000	spk1
480.741000	500.105000	spk1
501.011000	513.269000	spk1
513.984000	524.787000	spk1
528.651000	585.861000	spk1
588.127000	604.701000	spk1
605.249000	608.778000	spk1
611.067000	646.766000	spk1
648.054000	653.277000	spk1
654.589000	655.257000	spk1
658.787000	668.898000	spk1
672.499000	705.530000	spk1
706.198000	710.920000	spk1
713.472000	740.301000	spk1
740.707000	752.392000	spk1
754.085000	755.611000	spk1
756.112000	824.124000	spk1
825.841000	826.437000	spk1
832.280000	840.460000	spk1
841.008000	845.300000	spk1
848.901000	849.879000	spk1
852.145000	852.908000	spk1
853.743000	855.865000	spk1
858.464000	870.435000	spk1
872.891000	909.999000	spk1
915.961000	940.285000	spk1
941.406000	949.086000	spk1
950.421000	954.976000	spk1
956.255000	976.415000	spk1
977.011000	996.916000	spk1
999.070000	1005.294000	spk1
1006.367000	1033.047000	spk1
1033.882000	1037.912000	spk1
1039.462000	1040.607000	spk1
