0.766000	3.887000	spk1
10.922000	12.878000	spk1
18.410000	20.676000	spk1
21.510000	27.019000	spk1
38.704000	41.089000	spk1
61.697000	66.664000	spk1
71.123000	73.078000	spk1
75.743000	83.476000	spk1
106.552000	108.945000	spk1
113.738000	116.504000	spk1
132.672000	134.456000	spk1
142.235000	143.833000	spk1
144.930000	146.337000	spk1
160.120000	161.527000	spk1
167.012000	169.635000	spk1
180.152000	196.417000	spk1
198.515000	205.861000	spk1
219.001000	221.767000	spk1
231.704000	237.078000	spk1
251.286000	252.812000	spk1
267.860000	269.696000	spk1
276.493000	277.113000	spk1
278.377000	279.140000	spk1
282.183000	288.870000	spk1
303.599000	305.674000	spk1
320.470000	324.262000	spk1
338.069000	343.602000	spk1
343.960000	344.723000	spk1
345.128000	352.545000	spk1
365.233000	367.069000	spk1
374.080000	376.202000	spk1
378.802000	386.527000	spk1
396.876000	398.498000	spk1
411.769000	414.014000	spk1
419.022000	423.958000	spk1
431.143000	434.434000	spk1
438.315000	439.698000	spk1
444.444000	451.885000	spk1
453.364000	460.731000	spk1
463.737000	473.730000	spk1
484.628000	486.011000	spk1
495.693000	518.421000	spk1
518.803000	529.200000	spk1
532.897000	533.732000	spk1
539.646000	556.291000	spk1
563.517000	565.496000	spk1
570.790000	597.690000	spk1
600.313000	603.103000	spk1
608.397000	609.589000	spk1
611.378000	622.229000	spk1
631.768000	635.035000	spk1
635.965000	637.348000	spk1
640.614000	644.001000	spk1
654.799000	660.408000	spk1
662.531000	665.511000	spk1
666.227000	669.947000	spk1
671.545000	673.214000	spk1
674.216000	714.315000	spk1
715.484000	719.633000	spk1
728.096000	730.507000	spk1
741.310000	763.155000	spk1
766.041000	766.661000	spk1
777.933000	804.864000	spk1
805.222000	822.225000	spk1
825.135000	825.540000	spk1
850.752000	856.573000	spk1
860.317000	863.155000	spk1
871.120000	875.342000	spk1
879.253000	905.891000	spk1
906.344000	915.669000	spk1
917.171000	918.054000	spk1
