3.887000	10.922000	spk2
12.878000	21.510000	spk2
27.019000	38.704000	spk2
41.089000	71.123000	spk2
73.078000	75.743000	spk2
83.476000	113.738000	spk2
116.504000	132.672000	spk2
134.456000	142.235000	spk2
143.833000	160.120000	spk2
161.527000	167.012000	spk2
169.635000	180.152000	spk2
183.181000	185.528000	spk2
186.616000	198.515000	spk2
199.040000	205.336000	spk2
205.861000	231.704000	spk2
237.078000	251.286000	spk2
252.812000	267.860000	spk2
269.696000	276.493000	spk2
277.113000	278.377000	spk2
279.140000	303.599000	spk2
305.674000	320.470000	spk2
324.262000	343.960000	spk2
344.723000	345.128000	spk2
345.915000	365.233000	spk2
367.069000	378.802000	spk2
386.527000	396.876000	spk2
398.498000	411.769000	spk2
414.014000	438.315000	spk2
439.698000	444.444000	spk2
445.350000	451.145000	spk2
451.885000	453.364000	spk2
455.439000	458.794000	spk2
460.731000	472.728000	spk2
473.730000	484.628000	spk2
486.011000	495.693000	spk2
496.862000	511.076000	spk2
512.197000	518.803000	spk2
521.283000	526.458000	spk2
529.200000	532.897000	spk2
533.732000	539.646000	spk2
546.419000	548.088000	spk2
549.113000	555.534000	spk2
556.291000	563.517000	spk2
565.496000	608.397000	spk2
609.589000	635.965000	spk2
637.348000	662.531000	spk2
665.511000	671.545000	spk2
673.214000	674.216000	spk2
682.992000	701.723000	spk2
702.844000	715.484000	spk2
719.633000	728.096000	spk2
730.507000	741.310000	spk2
742.955000	762.821000	spk2
763.155000	766.041000	spk2
766.661000	794.562000	spk2
795.874000	820.866000	spk2
822.225000	825.135000	spk2
825.540000	850.752000	spk2
856.573000	871.120000	spk2
872.241000	873.553000	spk2
875.342000	879.253000	spk2
886.813000	899.000000	spk2
900.788000	905.581000	spk2
905.891000	906.344000	spk2
906.845000	917.171000	spk2
