threshold,n_files,total_duration_hours,total_removed_sec,total_removed_hours,total_kept_sec,total_kept_hours,mean_removed_pct,median_removed_pct
0,644,187.90769222222224,299242.653,83.12295916666666,377225.039,104.78473305555555,35.61215838509317,24.225
1,644,187.90769222222224,227275.437,63.132065833333336,449192.255,124.7756263888889,25.619565217391305,13.655
2,644,187.90769222222224,180868.493,50.24124805555555,495599.199,137.66644416666668,19.791692546583853,8.95
3,644,187.90769222222224,147199.064,40.888628888888896,529268.628,147.01906333333335,15.725807453416149,5.75
4,644,187.90769222222224,119481.399,33.1892775,556986.293,154.7184147222222,12.449409937888198,3.5650000000000004
5,644,187.90769222222224,97587.952,27.107764444444445,578879.74,160.79992777777778,10.00169254658385,2.1500000000000004
