threshold,n_files,total_duration_sec,total_removed_sec,total_kept_sec,mean_removed_pct,std_removed_pct,median_removed_pct,mean_kept_pct,std_kept_pct,mean_unresolved_pct,baseline_overlap_pct_original,total_duration_hours,total_removed_hours,total_kept_hours
0,644,676467.692,299242.653,377225.039,35.61215838509317,27.841261118779276,24.225,64.38784161490683,27.841261118779272,0.0,35.61215838509317,187.90769222222224,83.12295916666666,104.78473305555555
1,644,676467.692,227275.437,449192.255,25.619565217391305,25.392917880863838,13.655,74.3804347826087,25.392917880863823,0.0,35.61215838509317,187.90769222222224,63.132065833333336,124.7756263888889
2,644,676467.692,180868.493,495599.199,19.791692546583853,22.428183664326294,8.95,80.20830745341615,22.428183664326305,0.0,35.61215838509317,187.90769222222224,50.24124805555555,137.66644416666668
3,644,676467.692,147199.064,529268.628,15.725807453416149,19.909476142003996,5.75,84.27419254658385,19.909476142003996,0.0,35.61215838509317,187.90769222222224,40.888628888888896,147.01906333333335
4,644,676467.692,119481.399,556986.293,12.449409937888198,17.565317985131426,3.5650000000000004,87.55059006211181,17.565317985131426,0.0,35.61215838509317,187.90769222222224,33.1892775,154.7184147222222
5,644,676467.692,97587.952,578879.74,10.00169254658385,15.338659614821426,2.1500000000000004,89.99830745341616,15.338659614821424,0.0,35.61215838509317,187.90769222222224,27.107764444444445,160.79992777777778
