label,group_column,group_value,n_segments,segment_pct,n_speakers,speaker_pct,total_hours,hours_pct,mean_duration_sec,median_duration_sec,std_duration_sec,min_duration_sec,max_duration_sec
fold_1,age_group,A,1188,49.15184112536202,54,49.54128440366973,9.52395861111111,49.06557566324049,28.860480639730635,30.0,4.408122449566784,3.006,30.0
fold_1,age_group,B,1229,50.84815887463798,55,50.45871559633027,9.886714722222223,50.93442433675952,28.960270951993493,30.0,4.120750208488709,3.365,30.0
fold_2,age_group,A,1208,47.113884555382214,53,49.074074074074076,9.6993425,46.99264818010451,28.90532533112583,30.0,4.264873343050863,3.347,30.0
fold_2,age_group,B,1356,52.886115444617786,55,50.92592592592593,10.940785,53.0073518198955,29.04633185840708,30.0,3.99629038876538,3.225,30.0
fold_3,age_group,A,1209,46.64351851851852,54,48.64864864864865,9.713736666666666,46.60738066960782,28.924277915632754,30.0,4.306847293914231,3.577,30.0
fold_3,age_group,B,1383,53.356481481481474,57,51.35135135135135,11.127890833333334,53.392619330392186,28.966310195227766,30.0,4.279909716774205,3.094,30.0
fold_4,age_group,A,1157,47.593582887700535,55,50.45871559633027,9.325450555555557,47.617702983914164,29.016095073465863,30.0,4.036835876533426,3.291,30.0
fold_4,age_group,B,1274,52.406417112299465,54,49.54128440366973,10.258548611111111,52.38229701608586,28.98804945054945,30.0,4.204725325949458,3.094,30.0
exceptions,age_group,A,37,23.870967741935484,2,28.57142857142857,0.2978497222222222,23.640445999809952,28.979972972972973,30.0,3.386424232517625,13.679,30.0
exceptions,age_group,B,118,76.12903225806451,5,71.42857142857143,0.9620661111111112,76.35955400019006,29.351169491525425,30.0,3.317095955480441,9.44,30.0
