label,region_column,region_value,n_segments,segment_pct,n_speakers,speaker_pct,total_hours,hours_pct,mean_duration_sec,median_duration_sec
fold_1,dialect_region,east,890,36.82250724038064,37,33.94495412844037,7.159188055555556,36.882739370309785,28.958513483146067,30.0
fold_1,dialect_region,mid,359,14.853123707074886,17,15.59633027522936,2.880708888888889,14.840849873775062,28.88733147632312,30.0
fold_1,dialect_region,north,549,22.71410839884154,26,23.853211009174313,4.413243055555555,22.736166745832733,28.93929872495446,30.0
fold_1,dialect_region,west,619,25.610260653702937,29,26.605504587155966,4.957533333333333,25.540244010082425,28.83218093699515,30.0
fold_2,dialect_region,east,907,35.37441497659906,38,35.18518518518518,7.300023333333333,35.36811162301848,28.974734288864386,30.0
fold_2,dialect_region,mid,337,13.143525741029642,16,14.814814814814813,2.7284516666666665,13.219160911998564,29.146664688427297,30.0
fold_2,dialect_region,north,633,24.68798751950078,25,23.14814814814815,5.0952786111111115,24.68627488425695,28.977887835703,30.0
fold_2,dialect_region,west,687,26.794071762870512,29,26.851851851851855,5.5163738888888885,26.72645258072601,28.90676273653566,30.0
fold_3,dialect_region,east,887,34.22067901234568,38,34.234234234234236,7.136583333333333,34.241967587863925,28.964712514092447,30.0
fold_3,dialect_region,mid,310,11.959876543209877,16,14.414414414414415,2.48249,11.911209909110985,28.828916129032258,30.0
fold_3,dialect_region,north,738,28.47222222222222,28,25.225225225225223,5.951011944444445,28.5534896180466,29.029326558265584,30.0
fold_3,dialect_region,west,657,25.34722222222222,29,26.126126126126124,5.271542222222222,25.293332884978504,28.88516286149163,30.0
fold_4,dialect_region,east,905,37.22747840394899,38,34.862385321100916,7.3170947222222225,37.362617614263534,29.10667513812155,30.0
fold_4,dialect_region,mid,308,12.669683257918551,15,13.761467889908257,2.4773699999999996,12.649969901023365,28.956272727272726,30.0
fold_4,dialect_region,north,650,26.737967914438503,27,24.770642201834864,5.244575555555556,26.779900830889485,29.04688,30.0
fold_4,dialect_region,west,568,23.364870423693954,29,26.605504587155966,4.544958888888889,23.20751165382363,28.806077464788732,30.0
exceptions,dialect_region,east,50,32.25806451612903,2,28.57142857142857,0.40910305555555554,32.47066547875663,29.45542,30.0
exceptions,dialect_region,north,55,35.483870967741936,3,42.857142857142854,0.44213861111111113,35.092710117099976,28.93998181818182,30.0
exceptions,dialect_region,west,50,32.25806451612903,2,28.57142857142857,0.40867416666666667,32.4366244041434,29.42454,30.0
fold_1,fg_dialect_region,Helgelandsk,72,2.978899462143153,4,3.669724770642202,0.5800447222222223,2.9882771826680012,29.002236111111113,30.0
fold_1,fg_dialect_region,Midlandsk,251,10.384774513860156,10,9.174311926605505,2.0361716666666667,10.489958960722985,29.204055776892428,30.0
fold_1,fg_dialect_region,Namdalsk,29,1.1998345055854365,1,0.9174311926605505,0.2296997222222222,1.183368130912626,28.51444827586207,30.0
fold_1,fg_dialect_region,Nordlandsk,96,3.971865949524204,7,6.422018348623854,0.757111388888889,3.9004900854661524,28.391677083333335,30.0
fold_1,fg_dialect_region,Nordvestlandsk,205,8.48158874637981,9,8.256880733944955,1.6482325,8.49137210077892,28.944570731707316,30.0
fold_1,fg_dialect_region,Sørlandsk,175,7.240380637153495,8,7.339449541284404,1.3874208333333333,7.147721305220049,28.541228571428572,30.0
fold_1,fg_dialect_region,Sørvestlandsk,370,15.308233347124533,18,16.51376146788991,2.9594408333333333,15.246461482874887,28.794559459459457,30.0
fold_1,fg_dialect_region,Troms-Finnmarks-mål,381,15.763342987174184,15,13.761467889908257,3.0760869444444445,15.847399477698582,29.06538845144357,30.0
fold_1,fg_dialect_region,Uttrøndersk,98,4.054613156805957,5,4.587155963302752,0.7821208333333334,4.029333861336084,28.730969387755103,30.0
fold_1,fg_dialect_region,Østlandsk,508,21.017790649565576,21,19.26605504587156,4.085455555555555,21.04746953079537,28.952047244094487,30.0
fold_1,fg_dialect_region,Østtrøndsk,232,9.598676044683492,11,10.091743119266056,1.8688883333333333,9.628147881526349,28.999991379310345,30.0
fold_2,fg_dialect_region,Helgelandsk,112,4.368174726989079,4,3.7037037037037033,0.9177702777777778,4.446533955653994,29.499758928571428,30.0
fold_2,fg_dialect_region,Midlandsk,260,10.14040561622465,12,11.11111111111111,2.088957222222222,10.12085425452058,28.924023076923078,30.0
fold_2,fg_dialect_region,Namdalsk,23,0.8970358814352575,1,0.9259259259259258,0.19067722222222222,0.9238180443518201,29.845130434782607,30.0
fold_2,fg_dialect_region,Nordlandsk,114,4.446177847113884,7,6.481481481481481,0.9037836111111112,4.378769516375862,28.5405350877193,30.0
fold_2,fg_dialect_region,Nordvestlandsk,214,8.346333853354135,9,8.333333333333332,1.7275219444444443,8.369725160101092,29.061116822429906,30.0
fold_2,fg_dialect_region,Sørlandsk,171,6.669266770670827,8,7.4074074074074066,1.3771408333333335,6.672152743888494,28.99243859649123,30.0
fold_2,fg_dialect_region,Sørvestlandsk,455,17.745709828393135,19,17.59259259259259,3.6400308333333338,17.635699359576794,28.800243956043957,30.0
fold_2,fg_dialect_region,Troms-Finnmarks-mål,407,15.873634945397816,14,12.962962962962962,3.273724722222222,15.860971412227093,28.95677886977887,30.0
fold_2,fg_dialect_region,Uttrøndersk,87,3.3931357254290173,5,4.62962962962963,0.7029733333333333,3.405857513880829,29.088551724137933,30.0
fold_2,fg_dialect_region,Østlandsk,494,19.266770670826833,20,18.51851851851852,3.982746388888889,19.296132685657536,29.02406275303644,30.0
fold_2,fg_dialect_region,Østtrøndsk,227,8.853354134165366,10,9.25925925925926,1.834801111111111,8.889485353765917,29.098167400881056,30.0
fold_3,fg_dialect_region,Helgelandsk,97,3.742283950617284,4,3.6036036036036037,0.7905341666666666,3.7930539093775986,29.339412371134017,30.0
fold_3,fg_dialect_region,Midlandsk,280,10.802469135802468,11,9.90990990990991,2.2542258333333334,10.81597794286139,28.98290357142857,30.0
fold_3,fg_dialect_region,Namdalsk,17,0.6558641975308641,1,0.9009009009009009,0.14166666666666666,0.6797293861367913,30.0,30.0
fold_3,fg_dialect_region,Nordlandsk,166,6.404320987654321,8,7.207207207207207,1.3115511111111111,6.292939988065285,28.443277108433733,30.0
fold_3,fg_dialect_region,Nordvestlandsk,197,7.600308641975309,9,8.108108108108109,1.563655,7.502557081974526,28.57440609137056,30.0
fold_3,fg_dialect_region,Sørlandsk,167,6.442901234567901,8,7.207207207207207,1.3475780555555554,6.465800502170743,29.049586826347305,30.0
fold_3,fg_dialect_region,Sørvestlandsk,449,17.32253086419753,19,17.117117117117118,3.6137277777777776,17.338990334501364,28.974209354120266,30.0
fold_3,fg_dialect_region,Troms-Finnmarks-mål,475,18.325617283950617,16,14.414414414414415,3.848926666666667,18.467495720603715,29.170812631578947,30.0
fold_3,fg_dialect_region,Uttrøndersk,105,4.050925925925926,5,4.504504504504505,0.8471352777777778,4.064631122390887,29.044638095238096,30.0
fold_3,fg_dialect_region,Østlandsk,451,17.39969135802469,20,18.01801801801802,3.628938888888889,17.411974611334404,28.967139689578715,30.0
fold_3,fg_dialect_region,Østtrøndsk,188,7.253086419753087,10,9.00900900900901,1.4936880555555556,7.166849400583307,28.602537234042554,30.0
fold_4,fg_dialect_region,Helgelandsk,95,3.90785684903332,4,3.669724770642202,0.7737941666666667,3.951155022431365,29.322726315789474,30.0
fold_4,fg_dialect_region,Midlandsk,249,10.242698477992596,11,10.091743119266056,1.9915669444444444,10.169357787934501,28.79373895582329,30.0
fold_4,fg_dialect_region,Namdalsk,21,0.8638420403126285,1,0.9174311926605505,0.16549444444444444,0.8450492825087919,28.37047619047619,30.0
fold_4,fg_dialect_region,Nordlandsk,138,5.676676264911559,7,6.422018348623854,1.1048558333333334,5.641625206019592,28.822326086956522,30.0
fold_4,fg_dialect_region,Nordvestlandsk,153,6.293706293706294,9,8.256880733944955,1.231778888888889,6.289720901262408,28.983032679738564,30.0
fold_4,fg_dialect_region,Sørlandsk,188,7.733443027560674,8,7.339449541284404,1.5375075,7.8508351992628,29.441632978723405,30.0
fold_4,fg_dialect_region,Sørvestlandsk,429,17.647058823529413,20,18.34862385321101,3.420518611111111,17.46588417412248,28.70365268065268,30.0
fold_4,fg_dialect_region,Troms-Finnmarks-mål,417,17.153434800493624,16,14.678899082568808,3.3659255555555556,17.187120602438526,29.058350119904077,30.0
fold_4,fg_dialect_region,Uttrøndersk,111,4.566022213081037,5,4.587155963302752,0.8896375000000001,4.54267533627261,28.85310810810811,30.0
fold_4,fg_dialect_region,Østlandsk,454,18.67544220485397,19,17.431192660550458,3.6806816666666666,18.79433120550497,29.18602202643172,30.0
fold_4,fg_dialect_region,Østtrøndsk,176,7.239819004524888,9,8.256880733944955,1.4222380555555556,7.262245282241965,29.091232954545454,30.0
exceptions,fg_dialect_region,Midlandsk,50,32.25806451612903,2,28.57142857142857,0.40910305555555554,32.47066547875663,29.45542,30.0
exceptions,fg_dialect_region,Sørvestlandsk,50,32.25806451612903,2,28.57142857142857,0.40867416666666667,32.4366244041434,29.42454,30.0
exceptions,fg_dialect_region,Troms-Finnmarks-mål,55,35.483870967741936,3,42.857142857142854,0.44213861111111113,35.092710117099976,28.93998181818182,30.0
