label,region_column,region_value,n_segments,segment_pct,n_speakers,speaker_pct,total_hours,hours_pct,mean_duration_sec,median_duration_sec
fold_1,dialect_region,east,890,36.82250724038064,37,33.94495412844037,7.159188055555556,36.882739370309785,28.958513483146067,30.0
fold_1,dialect_region,mid,359,14.853123707074886,17,15.59633027522936,2.880708888888889,14.840849873775062,28.88733147632312,30.0
fold_1,dialect_region,north,549,22.71410839884154,26,23.853211009174313,4.413243055555555,22.736166745832733,28.93929872495446,30.0
fold_1,dialect_region,west,619,25.610260653702937,29,26.605504587155966,4.957533333333333,25.540244010082425,28.83218093699515,30.0
fold_2,dialect_region,east,907,35.37441497659906,38,35.18518518518518,7.300023333333333,35.36811162301848,28.974734288864386,30.0
fold_2,dialect_region,mid,337,13.143525741029642,16,14.814814814814813,2.7284516666666665,13.219160911998564,29.146664688427297,30.0
fold_2,dialect_region,north,633,24.68798751950078,25,23.14814814814815,5.0952786111111115,24.68627488425695,28.977887835703,30.0
fold_2,dialect_region,west,687,26.794071762870512,29,26.851851851851855,5.5163738888888885,26.72645258072601,28.90676273653566,30.0
fold_3,dialect_region,east,887,34.22067901234568,38,34.234234234234236,7.136583333333333,34.241967587863925,28.964712514092447,30.0
fold_3,dialect_region,mid,310,11.959876543209877,16,14.414414414414415,2.48249,11.911209909110985,28.828916129032258,30.0
fold_3,dialect_region,north,738,28.47222222222222,28,25.225225225225223,5.951011944444445,28.5534896180466,29.029326558265584,30.0
fold_3,dialect_region,west,657,25.34722222222222,29,26.126126126126124,5.271542222222222,25.293332884978504,28.88516286149163,30.0
fold_4,dialect_region,east,905,37.22747840394899,38,34.862385321100916,7.3170947222222225,37.362617614263534,29.10667513812155,30.0
fold_4,dialect_region,mid,308,12.669683257918551,15,13.761467889908257,2.4773699999999996,12.649969901023365,28.956272727272726,30.0
fold_4,dialect_region,north,650,26.737967914438503,27,24.770642201834864,5.244575555555556,26.779900830889485,29.04688,30.0
fold_4,dialect_region,west,568,23.364870423693954,29,26.605504587155966,4.544958888888889,23.20751165382363,28.806077464788732,30.0
exceptions,dialect_region,east,50,32.25806451612903,2,28.57142857142857,0.40910305555555554,32.47066547875663,29.45542,30.0
exceptions,dialect_region,north,55,35.483870967741936,3,42.857142857142854,0.44213861111111113,35.092710117099976,28.93998181818182,30.0
exceptions,dialect_region,west,50,32.25806451612903,2,28.57142857142857,0.40867416666666667,32.4366244041434,29.42454,30.0
